Health Center Name,City,State,Status
HEARTLAND INTERNATIONAL HEALTH CENTERS,CHICAGO,IL,Invited
HOWARD BROWN HEALTH CENTER,CHICAGO,IL,Invited
INNER CITY MUSLIM ACTION NETWORK,CHICAGO,IL,Invited
LAWNDALE CHRISTIAN HEALTH CENTER,CHICAGO,IL,Participating
"NEAR NORTH HEALTH SERVICE CORPORATION, THE",CHICAGO,IL,Participating
"PRIMECARE COMMUNITY HEALTH, INC.",CHICAGO,IL,Invited
"TCA HEALTH, INC. NFP",CHICAGO,IL,Participating
UNIVERSITY OF ILLINOIS,CHICAGO,IL,Participating
COMMUNITY HEALTH IMPROVEMENT CENTER,DECATUR,IL,Invited
"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC.",E SAINT LOUIS,IL,Participating
GREATER ELGIN FAMILY CARE CENTER,ELGIN,IL,Participating
FAMILY CHRISTIAN HEALTH CENTER,HARVEY,IL,Invited
WILL COUNTY COMMUNITY HEALTH CENTER,JOLIET,IL,Invited
PILLARS COMMUNITY HEALTH,LA GRANGE,IL,Invited
PCC COMMUNITY WELLNESS CENTER,OAK PARK,IL,Invited
"AUNT MARTHA'S HEALTH AND WELLNESS, INC.",OLYMPIA FLDS,IL,Invited
CRUSADERS CENTRAL CLINIC ASSOCIATION,ROCKFORD,IL,Invited
SOUTHERN ILLINOIS UNIVERSITY,SPRINGFIELD,IL,Invited
"LAKE, COUNTY OF",WAUKEGAN,IL,Invited
VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC.,CLINTON,IN,Invited
"HEART CITY HEALTH CENTER, INC.",ELKHART,IN,Invited
"COMMUNITY HEALTHNET, INC",GARY,IN,Participating
"MAPLE CITY HEALTH CARE CENTER, INC.",GOSHEN,IN,Invited
INDIANA HEALTH CENTERS INCORPORATED,INDIANAPOLIS,IN,Invited
"RAPHAEL HEALTH CENTER, INC.",INDIANAPOLIS,IN,Invited
"SHALOM HEALTH CARE CENTER, INC.",INDIANAPOLIS,IN,Invited
THE HEALTH & HOSPITAL CORP OF MARION COUNTY,INDIANAPOLIS,IN,Participating
LIFESPRING INC.,JEFFERSONVLLE,IN,Invited
SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,MERRILLVILLE,IN,Invited
"OPEN DOOR HEALTH SERVICES, INC.",MUNCIE,IN,Invited
ASPIRE HEALTH CENTER,NOBLESVILLE,IN,Invited
"HEALTHLINC, INC.",VALPARAISO,IN,Participating
PORTER STARKE SERVICES INC,VALPARAISO,IN,Invited
EASTERN IOWA HEALTH CENTER,CEDAR RAPIDS,IA,Invited
ALL CARE HEALTH CENTER,COUNCIL BLFS,IA,Participating
"COMMUNITY HEALTH CARE, INC.",DAVENPORT,IA,Participating
PROTEUS INC.,DES MOINES,IA,Invited
CRESCENT COMMUNITY HEALTH CENTER,DUBUQUE,IA,Invited
SIOUXLAND COMMUNITY HEALTH CENTER,SIOUX CITY,IA,Invited
PRIMARY HEALTH CARE INC,URBANDALE,IA,Invited
ATCHISON COMMUNITY HEALTH CLINIC,ATCHISON,KS,Invited
"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC.",GARDEN CITY,KS,Invited
TURNER HOUSE CLINIC INC.,KANSAS CITY,KS,Participating
"COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS, INC.",PITTSBURG,KS,Participating
"GRACEMED HEALTH CLINIC, INC.",WICHITA,KS,Participating
HEALTHCORE CLINIC INC,WICHITA,KS,Invited
"HUNTER HEALTH CLINIC INC, THE",WICHITA,KS,Invited
"A+ FAMILY HEALTHCARE, LLC",BROWNSVILLE,KY,Invited
"CUMBERLAND FAMILY MEDICAL CENTER, INC.",BURKESVILLE,KY,Invited
"HEALTHFIRST BLUEGRASS, INC.",LEXINGTON,KY,Invited
UNIVERSITY OF KENTUCKY,LEXINGTON,KY,Invited
"PARK DUVALLE COMMUNITY HEALTH CENTER, INC.",LOUISVILLE,KY,Invited
"SHAWNEE CHRISTIAN HEALTHCARE CENTER, INC.",LOUISVILLE,KY,Invited
"BIG SANDY HEALTH CARE, INC.",PRESTONSBURG,KY,Invited
"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PRESTONSBURG,KY,Invited
MOUNTAIN COMPREHENSIVE HEALTH CORPORATION,WHITESBURG,KY,Participating
"RAPIDES PRIMARY HEALTH CARE CENTER, INCORPORATED",ALEXANDRIA,LA,Invited
"JEFFERSON COMMUNITY HEALTH CARE CENTERS, INC",AVONDALE,LA,Invited
"MOREHOUSE COMMUNITY MEDICAL CENTERS, INC.",BASTROP,LA,Invited
"BATON ROUGE PRIMARY CARE COLLABORATIVE, INC.",BATON ROUGE,LA,Invited
CAPITOL CITY FAMILY HEALTH CENTER INC,BATON ROUGE,LA,Invited
H I V/ A I D S ALLIANCE FOR REGION TWO INC,BATON ROUGE,LA,Participating
RKM PRIMARY CARE,CLINTON,LA,Invited
"RICHLAND, PARISH OF",DELHI,LA,Invited
SOUTHEAST COMMUNITY HEALTH SYSTEMS,GREENSBURG,LA,Invited
"INNIS COMMUNITY HEALTH CENTER, INC.",INNIS,LA,Invited
SWLA CENTER FOR HEALTH SERVICES,LAKE CHARLES,LA,Invited
ACCESS HEALTH LOUISIANA,LULING,LA,Invited
C A S S E DENTAL HEALTH INSTITUTE,MANSFIELD,LA,Invited
PRIORITY HEALTH CARE,MARRERO,LA,Invited
PRIMARY HEALTH SERVICES CENTER,MONROE,LA,Participating
"IBERIA COMPRHESIVE COM HEALTH CNTR, INC.",NEW IBERIA,LA,Invited
"BAPTIST COMMUNITY HEALTH SERVICES, INC.",NEW ORLEANS,LA,Invited
COMMON GROUND HEALTH CLINIC,NEW ORLEANS,LA,Invited
"EXCELTH, INCORPORATED",NEW ORLEANS,LA,Invited
MARILLAC COMMUNITY HEALTH CENTERS,NEW ORLEANS,LA,Participating
MQVN COMMUNITY DEVELOPMENT CORP,NEW ORLEANS,LA,Invited
"NEW ORLEANS, CITY OF",NEW ORLEANS,LA,Invited
"ST. THOMAS COMMUNITY HEALTH CENTER, INC.",NEW ORLEANS,LA,Participating
SOUTHWEST LOUISIANA PRIMARY HEALTH CARE CENTER INC,OPELOUSAS,LA,Invited
PLAQUEMINES PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE,PORT SULPHUR,LA,Invited
ST GABRIEL HEALTH CLINIC INC,SAINT GABRIEL,LA,Invited
"DAVID RAINES COMMUNITY HEALTH CENTER, INC.",SHREVEPORT,LA,Invited
WINN COMMUNITY HEALTH CENTER,WINNFIELD,LA,Invited
PENOBSCOT COMMUNITY HEALTH CENTER,BANGOR,ME,Participating
FISH RIVER RURAL HEALTH,EAGLE LAKE,ME,Invited
"HEALTH ACCESS NETWORK, INC.",LINCOLN,ME,Invited
SEBASTICOOK FAMILY DOCTORS,NEWPORT,ME,Invited
KATAHDIN VALLEY HEALTH CENTER,PATTEN,ME,Invited
HEALTHREACH COMMUNITY HEALTH CENTERS,WATERVILLE,ME,Participating
MINISTRY OF HEALTH IN THE REPUBLIC OF THE MARSHALL ISLANDS,EBEYE,MH,Invited
"BALTIMORE MEDICAL SYSTEM, INC.",BALTIMORE,MD,Invited
"CHASE BREXTON HEALTH SERVICES, INC",BALTIMORE,MD,Invited
"HEALTH CARE FOR THE HOMELESS, INC.",BALTIMORE,MD,Participating
PARK WEST HEALTH SYSTEMS INCORPORATED,BALTIMORE,MD,Participating
"TOTAL HEALTH CARE, INC.",BALTIMORE,MD,Invited
"MOBILE MEDICAL CARE, INC.",BETHESDA,MD,Invited
GREATER BADEN MEDICAL SERVICE INC,BRANDYWINE,MD,Invited
"FAMILY HEALTH CENTERS OF BALTIMORE, INC.",BROOKLYN,MD,Invited
"CHOPTANK COMMUNITY HEALTH SYSTEM, INC.",DENTON,MD,Invited
"FREDERICK, CITY OF",FREDERICK,MD,Invited
"WALNUT STREET COMMUNITY HEALTH CENTER, INC.",HAGERSTOWN,MD,Invited
"COMMUNITY CLINIC, INC., THE",SILVER SPRING,MD,Participating
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM, INC., THE",BOSTON,MA,Participating
EAST BOSTON NEIGHBORHOOD HEALTH CENTER CORPORATION,BOSTON,MA,Participating
"FENWAY COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"MATTAPAN COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"SOUTH BOSTON COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"SOUTH COVE COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating
"CHARLES RIVER COMMUNITY HEALTH, INC.",BRIGHTON,MA,Participating
"BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.",BROCKTON,MA,Participating
"DOTHOUSE HEALTH, INC.",DORCHESTER,MA,Invited
HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,DORCHESTER,MA,Invited
"UPHAMS CORNER HEALTH COMMITTEE, INC.",DORCHESTER,MA,Invited
"CODMAN SQUARE HEALTH CENTER, INC",DORCHESTR CTR,MA,Participating
"COMMUNITY HEALTH PROGRAMS, INCORPORATED",GT BARRINGTON,MA,Invited
"HOLYOKE HEALTH CENTER, INC.",HOLYOKE,MA,Participating
"DUFFY HEALTH CENTER, INC.",HYANNIS,MA,Invited
"GREATER LAWRENCE FAMILY HEALTH CENTER, INC.",LAWRENCE,MA,Participating
"LOWELL COMMUNITY HEALTH CENTER, INC.",LOWELL,MA,Invited
"LYNN COMMUNITY HEALTH, INC.",LYNN,MA,Participating
"COMMUNITY HEALTH CENTER OF CAPE COD, INC.",MASHPEE,MA,Invited
"HARBOR HEALTH SERVICES, INC.",MATTAPAN,MA,Invited
"GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,INC.",NEW BEDFORD,MA,Participating
"DIMOCK COMMUNITY HEALTH CENTER, INC.",ROXBURY,MA,Participating
WHITTIER STREET HEALTH CENTER,ROXBURY,MA,Participating
"CARING HEALTH CENTER, INC.",SPRINGFIELD,MA,Invited
"OUTER CAPE HEALTH SERVICES, INC.",WELLFLEET,MA,Invited
"EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC.",WORCESTER,MA,Participating
"FAMILY HEALTH CENTER OF WORCESTER, INC.",WORCESTER,MA,Invited
"PACKARD HEALTH, INC.",ANN ARBOR,MI,Invited
BALDWIN FAMILY HEALTH CARE,BALDWIN,MI,Participating
INTERCARE COMMUNITY HEALTH NETWORK,BANGOR,MI,Participating
"GRACE HEALTH, INC.",BATTLE CREEK,MI,Participating
BAY MILLS INDIAN COMMUNITY,BRIMLEY,MI,Invited
FAMILY MEDICAL CENTER OF MICHIGAN INC,CARLETON,MI,Participating
LAKELAND IMMEDIATE CARE CENTER,CASSOPOLIS,MI,Invited
"COVERED BRIDGE HEALTHCARE OF ST. JOSEPH COUNTY, INC.",CENTREVILLE,MI,Invited
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC.",DETROIT,MI,Participating
"COVENANT COMMUNITY CARE, INC.",DETROIT,MI,Participating
"DETROIT CENTRAL CITY COMMUNITY MENTAL HEALTH, INCORPORATED",DETROIT,MI,Invited
DETROIT COMMUNITY HEALTH CONNECTION,DETROIT,MI,Invited
DETROIT HEALTH CARE FOR THE HOMELESS,DETROIT,MI,Invited
"WELLNESS PLAN, THE",DETROIT,MI,Invited
GENESEE HEALTH SYSTEM,FLINT,MI,Invited
"HAMILTON COMMUNITY HEALTH NETWORK, INC.",FLINT,MI,Participating
"CHERRY STREET SERVICES, INC.",GRAND RAPIDS,MI,Participating
UPPER GREAT LAKES FAMILY HEALTH CENTER,GWINN,MI,Participating
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",HILLMAN,MI,Participating
WESTERN WAYNE FAMILY HEALTH CENTERS,INKSTER,MI,Invited
FAMILY HEALTH CENTER INC.,KALAMAZOO,MI,Invited
"INGHAM, COUNTY OF",LANSING,MI,Participating
"ALCONA CITIZENS FOR HEALTH, INC.",LINCOLN,MI,Participating
HACKLEY COMMUNITY CARE CENTER INC,MUSKEGON,MI,Participating
OAKLAND INTEGRATED HEALTHCARE NETWORK,PONTIAC,MI,Invited
GREAT LAKES BAY HEALTH CENTERS,SAGINAW,MI,Invited
CEDAR-RIVERSIDE PEOPLES CENTER,MINNEAPOLIS,MN,Invited
HENNEPIN COUNTY COMMUNITY HEALTH DEPARTMENT,MINNEAPOLIS,MN,Invited
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE",MINNEAPOLIS,MN,Participating
INDIAN HEALTH BOARD OF MINNEAPOLIS INC,MINNEAPOLIS,MN,Participating
NATIVE AMERICAN COMMUNITY CLINIC,MINNEAPOLIS,MN,Invited
NEIGHBORHOOD HEALTHSOURCE,MINNEAPOLIS,MN,Invited
REGENTS OF THE UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,Invited
"SOUTHSIDE COMMUNITY HEALTH SERVICES, INC.",MINNEAPOLIS,MN,Invited
COMMUNITY HEALTH SERVICE INC.,MOORHEAD,MN,Invited
"OPEN CITIES HEALTH CENTER, INC.",SAINT PAUL,MN,Invited
"WEST SIDE COMMUNITY HEALTH SERVICES, INC.",SAINT PAUL,MN,Participating
"NORTH MISSISSIPPI PRIMARY HEALTH CARE, INC.",ASHLAND,MS,Invited
"COASTAL FAMILY HEALTH CENTER, INC.",BILOXI,MS,Invited
"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC.",CANTON,MS,Invited
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",CLARKSDALE,MS,Participating
JEFFERSON COMPREHENSIVE HEALTH CENTER INC,FAYETTE,MS,Invited
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",HATTIESBURG,MS,Participating
"CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION, INC.",JACKSON,MS,Participating
"CENTRAL MISSISSIPPI HEALTH SERVICES, INC.",JACKSON,MS,Participating
"FAMILY HEALTH CENTER, INC.",LAUREL,MS,Invited
"DR. ARENIA C. MALLORY COMMUNITY HEALTH CENTER, INC.",LEXINGTON,MS,Invited
"AMITE COUNTY MEDICAL SERVICES, INC.",LIBERTY,MS,Invited
"GREATER MERIDIAN HEALTH CLINIC, INC",MERIDIAN,MS,Invited
"DELTA HEALTH CENTER, INC.",MOUND BAYOU,MS,Invited
"DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP, INC.",AVA,MO,Invited
"COMPASS HEALTH, INC.",CLINTON,MO,Invited
"BIG SPRINGS MEDICAL ASSOCIATION, INC",ELLINGTON,MO,Invited
COMMUNITY TREATMENT INCORPORATED,FESTUS,MO,Invited
OZARKS RESOURCE GROUP,HERMITAGE,MO,Invited
HOPE FAMILY CARE CENTER,KANSAS CITY,MO,Invited
KANSAS CITY CARE CLINIC,KANSAS CITY,MO,Invited
"SAMUEL U RODGERS HEALTH CENTER, INC.",KANSAS CITY,MO,Invited
SWOPE HEALTH SERVICES,KANSAS CITY,MO,Invited
"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",KIRKSVILLE,MO,Invited
"PREFERRED FAMILY HEALTHCARE, INCORPORATED",KIRKSVILLE,MO,Invited
HEALTH CARE COALITION OF LAFAYETTE COUNTY,LEXINGTON,MO,Invited
COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI,LINN,MO,Invited
EAST CENTRAL MISSOURI BEHAVIORAL HEALTH SERVICES INC,MEXICO,MO,Invited
SOUTHEAST MISSOURI HEALTH NETWORK,NEW MADRID,MO,Invited
GREAT MINES HEALTH CENTER,POTOSI,MO,Invited
RICHLAND MEDICAL CENTER INC,RICHLAND,MO,Invited
SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER,ROLLA,MO,Invited
"NORTHWEST HEALTH SERVICES, INC.",SAINT JOSEPH,MO,Invited
AFFINIA HEALTHCARE,SAINT LOUIS,MO,Invited
BETTY JEAN KERR - PEOPLE'S HEALTH CENTERS,SAINT LOUIS,MO,Invited
CARESTL HEALTH,SAINT LOUIS,MO,Invited
"REGIONAL HEALTH CARE CLINIC, INC.",SEDALIA,MO,Invited
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",SPRINGFIELD,MO,Participating
MONTANA MIGRANT & SEASONAL FARM WORKERS COUNCIL INC,BILLINGS,MT,Invited
"MISSOULA, COUNTY OF",MISSOULA,MT,Participating
"HEARTLAND HEALTH CENTER, INC.",GRAND ISLAND,NE,Invited
BLUESTEM HEALTH,LINCOLN,NE,Participating
"CHARLES DREW HEALTH CENTER, INC.",OMAHA,NE,Invited
"ONEWORLD COMMUNITY HEALTH CENTERS, INC.",OMAHA,NE,Participating
"NEVADA HEALTH CENTERS, INC.",CARSON CITY,NV,Participating
FIRSTMED HEALTH AND WELLNESS CENTER,LAS VEGAS,NV,Invited
SILVER STATE HEALTH SERVICES,LAS VEGAS,NV,Invited
SOUTHERN NEVADA HEALTH DISTRICT,LAS VEGAS,NV,Invited
HOPE CHRISTIAN HEALTH CENTER CORP,N LAS VEGAS,NV,Invited
COMMUNITY HEALTH ALLIANCE,RENO,NV,Invited
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,LITTLETON,NH,Participating
AMOSKEAG HEALTH,MANCHESTER,NH,Invited
"MANCHESTER, CITY OF",MANCHESTER,NH,Invited
"HARBOR HOMES, INC.",NASHUA,NH,Invited
"LAMPREY HEALTH CARE, INC.",NEWMARKET,NH,Invited
GREATER SEACOAST COMMUNITY HEALTH,SOMERSWORTH,NH,Invited
"COMMUNITY HEALTH CARE, INC.",BRIDGETON,NJ,Participating
CAMCARE HEALTH CORPORATION,CAMDEN,NJ,Participating
"OSBORN FAMILY HEALTH CENTER, INC., THE",CAMDEN,NJ,Invited
PROJECT HOPE,CAMDEN,NJ,Invited
ZUFALL HEALTH CENTER INC.,DOVER,NJ,Participating
ATLANTICARE HEALTH SERVICES INC,EGG HBR TWP,NJ,Invited
"SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC.",HAMMONTON,NJ,Participating
HORIZON HEALTH CENTER INC,JERSEY CITY,NJ,Invited
METROPOLITAN FAMILY HEALTH NETWORK INC.,JERSEY CITY,NJ,Invited
LAKEWOOD RESOURCE AND REFERRAL CENTER INC.,LAKEWOOD,NJ,Invited
OCEAN HEALTH INITIATIVES INC.,LAKEWOOD,NJ,Invited
MONMOUTH FAMILY HEALTH CENTER,LONG BRANCH,NJ,Invited
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NEW BRUNSWICK,NJ,Invited
"CITY OF NEWARK, NEW JERSEY",NEWARK,NJ,Invited
"NEWARK COMMUNITY HEALTH CENTERS, INC.",NEWARK,NJ,Participating
"SAINT JAMES HEALTH, INC.",NEWARK,NJ,Invited
PATERSON COMMUNITY HEALTH CENTER INC.,PATERSON,NJ,Invited
"JEWISH RENAISSANCE FOUNDATION INC., THE",PERTH AMBOY,NJ,Invited
JEWISH RENAISSANCE MEDICAL CENTER,PERTH AMBOY,NJ,Invited
NEIGHBORHOOD HEALTH SERVICES CORPORATION,PLAINFIELD,NJ,Invited
"HENRY J. AUSTIN HEALTH CENTER, INC.",TRENTON,NJ,Participating
NORTH HUDSON COMMUNITY ACTION CORPORATION,UNION CITY,NJ,Participating
"ALBUQUERQUE HEALTH CARE FOR THE HOMELESS, INC.",ALBUQUERQUE,NM,Invited
"FIRST CHOICE COMMUNITY HEALTHCARE, INC.",ALBUQUERQUE,NM,Invited
FIRST NATIONS COMMUNITY HEALTH SOURCE INC,ALBUQUERQUE,NM,Invited
"LAS CLINICAS DEL NORTE, INCORPORATED",EL RITO,NM,Invited
EL CENTRO FAMILY HEALTH,ESPANOLA,NM,Invited
"BEN ARCHER HEALTH CENTER, INC.",HATCH,NM,Participating
"JEMEZ, PUEBLO OF",JEMEZ PUEBLO,NM,Invited
"CLINICA DE FAMILIA INC, LA",LAS CRUCES,NM,Invited
"ST. LUKE'S HEALTH CARE CLINIC, INC.",LAS CRUCES,NM,Invited
HIDALGO MEDICAL SERVICES,LORDSBURG,NM,Invited
"MORA VALLEY COMMUNITY HEALTH SERVICES, INCORPORATED",MORA,NM,Invited
LA CASA DE BUENA SALUD INC,PORTALES,NM,Invited
LA FAMILIA MEDICAL CENTER,SANTA FE,NM,Invited
PRESBYTERIAN MEDICAL SERVICES,SANTA FE,NM,Invited
SOUTHWEST C. A. R. E. CENTER,SANTA FE,NM,Invited
LA CLINICA DEL PUEBLO,TIRA AMARILLA,NM,Invited
"WHITNEY M. YOUNG, JR., HEALTH CENTER, INC.",ALBANY,NY,Participating
THE ADDABBO JOSEPH P FAMILY HEALTH CENTER INC,ARVERNE,NY,Participating
EAST HILL FAMILY MEDICAL INC,AUBURN,NY,Invited
"OAK ORCHARD COMMUNITY HEALTH CENTER, INC.",BROCKPORT,NY,Invited
"BRONX COMMUNITY HEALTH NETWORK, INC",BRONX,NY,Participating
BRONX LEBANON INTEGRATED SERVICE SYSTEM INC,BRONX,NY,Participating
LA CASA DE SALUD INC.,BRONX,NY,Invited
MONTEFIORE MEDICAL CENTER,BRONX,NY,Invited
"MORRIS HEIGHTS HEALTH CENTER, INC.",BRONX,NY,Invited
"UNION COMMUNITY HEALTH CENTER, INC.",BRONX,NY,Invited
"URBAN HEALTH PLAN, INC.",BRONX,NY,Participating
"VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES, INC.",BRONX,NY,Invited
"BEDFORD STUYVESANT FAMILY HEALTH CENTER, INC., THE",BROOKLYN,NY,Invited
BROOKLYN PLAZA MEDICAL CENTER,BROOKLYN,NY,Invited
BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION,BROOKLYN,NY,Participating
COMMUNITY HEALTH INITIATIVES INC.,BROOKLYN,NY,Invited
EZRA MEDICAL CENTER,BROOKLYN,NY,Invited
"HEALTHCARE CHOICES NY, INC.",BROOKLYN,NY,Invited
"HOUSING WORKS HEALTH SERVICES III, INC.",BROOKLYN,NY,Invited
"ODA PRIMARY HEALTH CARE CENTER, INC.",BROOKLYN,NY,Invited
"SUNSET PARK HEALTH COUNCIL, INC.",BROOKLYN,NY,Participating
"COMMUNITY HEALTH CENTER OF BUFFALO, INC.",BUFFALO,NY,Participating
JERICHO ROAD MINISTRIES INC.,BUFFALO,NY,Participating
"NEIGHBORHOOD HEALTH CENTER OF WNY, INC.",BUFFALO,NY,Participating
CORNERSTONE FAMILY HEALTHCARE,CORNWALL,NY,Participating
"DAMIAN FAMILY CARE CENTERS, INC.",JAMAICA,NY,Invited
FLOATING HOSPITAL INCORPORATED (THE),LONG ISLAND CITY,NY,Participating
"COMMUNITY MEDICAL AND DENTAL CARE, INC",MONSEY,NY,Invited
"MOUNT VERNON NEIGHBORHOOD HEALTH CENTER, INC.",MOUNT VERNON,NY,Invited
"REFUAH HEALTH CENTER, INC.",NEW SQUARE,NY,Invited
BETANCES HEALTH CENTER,NEW YORK,NY,Invited
CARE FOR THE HOMELESS,NEW YORK,NY,Invited
CARE FOR THE HOMELESS,NEW YORK,NY,Invited
"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating
"COMMUNITY HEALTH PROJECT, INC.",NEW YORK,NY,Invited
"COMMUNITY HEALTHCARE NETWORK, INC.",NEW YORK,NY,Participating
"EAST HARLEM COUNCIL FOR HUMAN SERVICES, INC.",NEW YORK,NY,Invited
"HERITAGE HEALTH AND HOUSING, INC.",NEW YORK,NY,Invited
"INSTITUTE FOR FAMILY HEALTH, THE",NEW YORK,NY,Participating
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NEW YORK,NY,Invited
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NEW YORK,NY,Invited
"PROJECT RENEWAL, INC.",NEW YORK,NY,Invited
"SETTLEMENT HEALTH AND MEDICAL SERVICES, INC.",NEW YORK,NY,Participating
UNDER 21,NEW YORK,NY,Invited
"UPPER ROOM AIDS MINISTRY, INC.: ADULT DAY HEALTH CARE CENTER",NEW YORK,NY,Invited
"WILLIAM F. RYAN COMMUNITY HEALTH CENTER, INC.",NEW YORK,NY,Participating
"OPEN DOOR FAMILY MEDICAL CENTER, INC.",OSSINING,NY,Participating
"HUDSON RIVER HEALTHCARE, INC.",PEEKSKILL,NY,Participating
FINGER LAKES MIGRANT HEALTH CARE,PENN YAN,NY,Participating
HUDSON HEADWATERS HEALTH NETWORK,QUEENSBURY,NY,Invited
ANTHONY L. JORDAN HEALTH CORPORATION,ROCHESTER,NY,Participating
"SCHENECTADY FAMILY HEALTH SERVICES, INC",SCHENECTADY,NY,Invited
BEACON CHRISTIAN COMMUNITY HEALTH CENTER,STATEN ISLAND,NY,Invited
"COMMUNITY HEALTH CENTER OF RICHMOND, INC.",STATEN ISLAND,NY,Participating
"SYRACUSE COMMUNITY HEALTH CENTER, INC.",SYRACUSE,NY,Invited
"NORTH COUNTRY FAMILY HEALTH CENTER, INC.",WATERTOWN,NY,Participating
BLACK RIVER HEALTH SERVICES INC,BURGAW,NC,Invited
"PIEDMONT HEALTH SERVICES, INC.",CARRBORO,NC,Participating
"C W WILLIAMS COMMUNITY HEALTH CENTER INC, THE",CHARLOTTE,NC,Invited
"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,Participating
WEST CALDWELL HEALTH COUNCIL INC,COLLETTSVILLE,NC,Invited
"CABARRUS COMMUNITY HEALTH CENTERS, INC.",CONCORD,NC,Invited
"LINCOLN COMMUNITY HEALTH CENTER, INCORPORATED",DURHAM,NC,Invited
GASTON FAMILY HEALTH SERVICES INC,GASTONIA,NC,Invited
"TRIAD ADULT AND PEDIATRIC MEDICINE, INC.",GREENSBORO,NC,Participating
"BLUE RIDGE COMMUNITY HEALTH SERVICES, INC.",HENDERSONVLLE,NC,Invited
"KINSTON COMMUNITY HEALTH CENTER, INCORPORATED",KINSTON,NC,Invited
FIRST CHOICE COMMUNITY HEALTH CENTERS,MAMERS,NC,Invited
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC",NEWTON GROVE,NC,Invited
ROBESON HEALTH CARE CORPORATION,PEMBROKE,NC,Invited
"ADVANCE COMMUNITY HEALTH, INC.",RALEIGH,NC,Participating
"HEALTH & HUMAN SERVICES, NORTH CAROLINA DEPARTMENT OF",RALEIGH,NC,Participating
"RURAL HEALTH GROUP, INC.",ROANOKE RAPID,NC,Participating
"OPPORTUNITIES INDUSTRIALIZATION CENTER, INCORPORATED",ROCKY MOUNT,NC,Invited
PERSON FAMILY MEDICAL CENTER,ROXBORO,NC,Invited
"GREENE COUNTY HEALTH CARE, INCORPORATED",SNOW HILL,NC,Participating
"STEDMAN - WADE HEALTH SERVICES, INC., THE",WADE,NC,Invited
"ANSON REGIONAL MEDICAL SERVICES, INC.",WADESBORO,NC,Invited
CAROLINA FAMILY HEALTH CENTERS INC,WILSON,NC,Invited
BERTIE COUNTY RURAL HEALTH ASSOCIATION,WINDSOR,NC,Invited
UNITED HEALTH CENTERS,WINSTON SALEM,NC,Invited
COAL COUNTRY COMMUNITY HEALTH CENTER,BEULAH,ND,Participating
SPECTRA HEALTH,GRAND FORKS,ND,Participating
"KAGMAN COMMUNITY HEALTH CENTRE, INC",SAIPAN,MP,Invited
"ASIAN SERVICES IN ACTION, INC.",AKRON,OH,Invited
"AXESSPOINTE COMMUNITY HEALTH CENTER, INC.",AKRON,OH,Participating
"HOPEWELL HEALTH CENTERS, INC.",CHILLICOTHE,OH,Invited
"CINCINNATI HEALTH NETWORK INC, THE",CINCINNATI,OH,Participating
"CINCINNATI, CITY OF",CINCINNATI,OH,Invited
"HEALTHCARE CONNECTION, INC.,THE",CINCINNATI,OH,Invited
WINTON HILLS MED & HEALTH CTR,CINCINNATI,OH,Participating
