Health Center Name,City,State,combinedKey,name,address,contact,lat,lon
"NORWALK COMMUNITY HEALTH CENTER, INC.",NORWALK,CT,"NORWALK COMMUNITY HEALTH CENTER, INC., NORWALK, CT",Norwalk Community Health Center (NCHC),"120 Connecticut Ave, Norwalk, CT 06854, USA",(203) 851-1000,41.105916,-73.4281171
"STAYWELL HEALTH CARE, INC.",WATERBURY,CT,"STAYWELL HEALTH CARE, INC., WATERBURY, CT",StayWell Health Center,"80 Phoenix Ave, Waterbury, CT 06702, USA",(203) 756-8021,41.5575266,-73.0389892
"GENERATIONS FAMILY HEALTH CENTER, INC.",WILLIMANTIC,CT,"GENERATIONS FAMILY HEALTH CENTER, INC., WILLIMANTIC, CT",Generations Family Health Center,"40 Mansfield Ave, Willimantic, CT 06226, USA",(860) 450-7471,41.7155558,-72.2253471
"LA RED HEALTH CENTER, INC.",GEORGETOWN,DE,"LA RED HEALTH CENTER, INC., GEORGETOWN, DE",La Red Health Center,"21444 Carmean Way, Georgetown, DE 19947, USA",(302) 855-1233,38.6996842,-75.4048154
SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC,WILMINGTON,DE,"SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC, WILMINGTON, DE",Henrietta Johnson Medical Center: Thompson Nadine MD,"601 New Castle Ave, Wilmington, DE 19801, USA",(302) 655-6187,39.7275201,-75.5437994
"WESTSIDE FAMILY HEALTHCARE, INC.",WILMINGTON,DE,"WESTSIDE FAMILY HEALTHCARE, INC., WILMINGTON, DE",Westside Family Healthcare,"908 16th St B, Wilmington, DE 19802, USA",(302) 575-1414,39.7458426,-75.5344517
"BREAD FOR THE CITY, INC.",WASHINGTON,DC,"BREAD FOR THE CITY, INC., WASHINGTON, DC",Bread For the City,"1640 Good Hope Rd SE, Washington, DC 20020, USA",(202) 265-2400,38.866205,-76.9811
"COMMUNITY OF HOPE, INC.",WASHINGTON,DC,"COMMUNITY OF HOPE, INC., WASHINGTON, DC",Community of Hope,"4 Atlantic St SW, Washington, DC 20032, USA",(202) 407-7747,38.8311595,-77.0087077
"ELAINE ELLIS CENTER OF HEALTH, INC.",WASHINGTON,DC,"ELAINE ELLIS CENTER OF HEALTH, INC., WASHINGTON, DC",Elaine Ellis Center of Health,"1627 Kenilworth Avenue Northeast, Washington, DC 20019, USA",(202) 803-2340,38.9117325,-76.9339373
FAMILY AND MEDICAL COUNSELING SERVICE INC,WASHINGTON,DC,"FAMILY AND MEDICAL COUNSELING SERVICE INC, WASHINGTON, DC",Family and Medical Counseling Service Inc,"2041 Martin Luther King Jr Ave SE, Washington, DC 20020, USA",(202) 889-7900,38.8658935,-76.9898272
"LA CLINICA DEL PUEBLO, INC.",WASHINGTON,DC,"LA CLINICA DEL PUEBLO, INC., WASHINGTON, DC",La Clinica Del Pueblo,"2831 15th St NW, Washington, DC 20009, USA",(202) 462-4788,38.9258997,-77.0351636
"MARY'S CENTER FOR MATERNAL AND CHILD CARE, INC.",WASHINGTON,DC,"MARY'S CENTER FOR MATERNAL AND CHILD CARE, INC., WASHINGTON, DC",Mary's Center,"2333 Ontario Rd NW, Washington, DC 20009, USA",(202) 483-8196,38.9209842,-77.0398043
"UNITY HEALTH CARE, INC.",WASHINGTON,DC,"UNITY HEALTH CARE, INC., WASHINGTON, DC",Unity Health Care Inc,"4130 Hunt Pl NE, Washington, DC 20019, USA",(202) 388-8160,38.9006279,-76.9429305
CHUUK STATE DEPARTMENT OF HEALTH SERVICES,CHUUK,FM,"CHUUK STATE DEPARTMENT OF HEALTH SERVICES, CHUUK, FM",Chuuk State Project Management Office,"Weno, Chuuk, Federated States of Micronesia",330 3069,7.4528776,151.8454065
POHNPEI COMMUNITY HEALTH CENTRE,POHNPEI,FM,"POHNPEI COMMUNITY HEALTH CENTRE, POHNPEI, FM",Pohnpei Community Health Center,"Kolonia, Pohnpei 96941, Federated States of Micronesia",320 2438,6.9642614,158.2133147
YAP STATE DEPARTMENT OF HEALTH SERVICES,YAP,FM,"YAP STATE DEPARTMENT OF HEALTH SERVICES, YAP, FM",Yap Memorial Hospital,"Unnamed Road,, Colonia, Yap, Federated States of Micronesia",350 2115,9.523426,138.1253743
"GENESIS COMMUNITY HEALTH, INC.",BOYNTON BEACH,FL,"GENESIS COMMUNITY HEALTH, INC., BOYNTON BEACH, FL",Genesis Community Health: Boynton Beach Medical,"709 South S Federal Hwy Suite 3, Boynton Beach, FL 33435, USA",(561) 735-6553,26.5214308,-80.058251
"PINELLAS, COUNTY OF",CLEARWATER,FL,"PINELLAS, COUNTY OF, CLEARWATER, FL",Clearwater,"Clearwater, FL, USA",,27.9658533,-82.8001026
"COMMUNITY HEALTH SOUTH FLORIDA, INC.",CUTLER BAY,FL,"COMMUNITY HEALTH SOUTH FLORIDA, INC., CUTLER BAY, FL",Community Health of South Florida Inc: Doris Ison Health Center,"10300 SW 216th St, Miami, FL 33190, USA",(305) 253-5100,25.5656019,-80.3577898
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",DADE CITY,FL,"PREMIER COMMUNITY HEALTHCARE GROUP, INC., DADE CITY, FL",Premier Community HealthCare Group,"37944 Church Ave, Dade City, FL 33525, USA",(352) 518-2000,28.3626964,-82.1878504
"HEALTH, FLORIDA DEPARTMENT OF",DEFUNIAK SPGS,FL,"HEALTH, FLORIDA DEPARTMENT OF, DEFUNIAK SPGS, FL",Walton County Public Health Department,"362 FL-83, Defuniak Springs, FL 32433, USA",(850) 892-8015,30.7260483,-86.1133325
"TREASURE COAST COMMUNITY HEALTH, INC.",FELLSMERE,FL,"TREASURE COAST COMMUNITY HEALTH, INC., FELLSMERE, FL",Treasure Coast Community Health (TCCH) Fellsmere,"12196 Co Rd 512, Fellsmere, FL 32948, USA",(772) 257-8224,27.7686272,-80.5767013
"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC.",FORT MYERS,FL,"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC., FORT MYERS, FL",Family Health Centers Of Southwest Fl,"2256 Heitman St, Fort Myers, FL 33901, USA",(239) 278-3600,26.6360087,-81.8709081
NORTH BROWARD HOSPITAL DISTRICT,FT LAUDERDALE,FL,"NORTH BROWARD HOSPITAL DISTRICT, FT LAUDERDALE, FL",North Broward Hospital District,"303 SE 17th St, Fort Lauderdale, FL 33316, USA",(954) 759-7400,26.101307,-80.1395363
"CITRUS HEALTH NETWORK, INC.",HIALEAH,FL,"CITRUS HEALTH NETWORK, INC., HIALEAH, FL","Citrus Health Network, Inc. 0600","4175 W 20th Ave, Hialeah, FL 33012, USA",(305) 825-0300,25.859739,-80.321635
"BROWARD COMMUNITY AND FAMILY HEALTH CENTERS, INC.",HOLLYWOOD,FL,"BROWARD COMMUNITY AND FAMILY HEALTH CENTERS, INC., HOLLYWOOD, FL",Broward Community and Family Health Centers,"5010-5012 Hollywood Blvd, Hollywood, FL 33021, USA",(954) 967-0028,26.009986,-80.194399
"COLLIER HEALTH SERVICES, INC.",IMMOKALEE,FL,"COLLIER HEALTH SERVICES, INC., IMMOKALEE, FL",Healthcare Network | Dental Care,"1454 Madison Ave W, Immokalee, FL 34142, USA",(239) 658-3000,26.4428234,-81.4320831
"AGAPE COMMUNITY HEALTH CENTER, INC.",JACKSONVILLE,FL,"AGAPE COMMUNITY HEALTH CENTER, INC., JACKSONVILLE, FL","Agape Community Health Center, Inc.","120 King St, Jacksonville, FL 32204, USA",(904) 760-4904,30.3290917,-81.6973579
"I.M. SULZBACHER CENTER FOR THE HOMELESS, INC.",JACKSONVILLE,FL,"I.M. SULZBACHER CENTER FOR THE HOMELESS, INC., JACKSONVILLE, FL",Sulzbacher Center,"611 E Adams St, Jacksonville, FL 32202, USA",(904) 359-0457,30.3268021,-81.6497038
"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC.",KISSIMMEE,FL,"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC., KISSIMMEE, FL",,,,,
"BANYAN COMMUNITY HEALTH CENTER, INC.",MIAMI,FL,"BANYAN COMMUNITY HEALTH CENTER, INC., MIAMI, FL",Banyan Health Systems,"3850 W Flagler St, Miami, FL 33134, USA",(305) 774-3300,25.771548,-80.2582562
"BORINQUEN HEALTH CARE CENTER, INC.",MIAMI,FL,"BORINQUEN HEALTH CARE CENTER, INC., MIAMI, FL",Borinquen Health Care Center,"10528 SW 8th St, Miami, FL 33174, USA",(305) 552-1201,25.7607384,-80.3667177
CAMILLUS HEALTH CONCERN INC,MIAMI,FL,"CAMILLUS HEALTH CONCERN INC, MIAMI, FL",Camillus Health Concern,"336 NW 5th St, Miami, FL 33128, USA",(305) 577-4840,25.7785411,-80.2004801
CARE RESOURCE COMMUNITY HEALTH CENTERS INCORPORATED,MIAMI,FL,"CARE RESOURCE COMMUNITY HEALTH CENTERS INCORPORATED, MIAMI, FL",Care Resource Community Health Centers,"3801 Biscayne Blvd 2nd floor, Miami, FL 33137, USA",(305) 576-1234,25.8126663,-80.1888706
"EMPOWER U, INCORPORATED",MIAMI,FL,"EMPOWER U, INCORPORATED, MIAMI, FL",Empower U Inc,"7900 NW 27th Ave Suite E12, Miami, FL 33147, USA",(786) 318-2337,25.8482694,-80.2438165
"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC.",MIAMI,FL,"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC., MIAMI, FL","Jessie Trice Community Health Center, Inc","5361 NW 22nd Ave, Miami, FL 33142, USA",(305) 637-6400,25.8239742,-80.2322423
MIAMI BEACH COMMUNITY HEALTH CENTER INC.,MIAMI BEACH,FL,"MIAMI BEACH COMMUNITY HEALTH CENTER INC., MIAMI BEACH, FL",Miami Beach Community Health Center,"1221 71st St, Miami Beach, FL 33141, USA",(305) 538-8835,25.8546303,-80.1320884
"CENTER FOR FAMILY AND CHILD ENRICHMENT, INC., THE",MIAMI GARDENS,FL,"CENTER FOR FAMILY AND CHILD ENRICHMENT, INC., THE, MIAMI GARDENS, FL","Center for Family and Child Enrichment, Inc. (CFCE)","1825 NW 167th St, Miami Gardens, FL 33056, USA",(305) 624-7450,25.9275741,-80.2310256
"HEART OF FLORIDA HEALTH CENTER, INC.",OCALA,FL,"HEART OF FLORIDA HEALTH CENTER, INC., OCALA, FL",Heart of Florida Health Center Central,"1025 SW 1st Ave, Ocala, FL 34471, USA",(352) 732-6599,29.1787634,-82.1373973
"HEALTH CARE CENTER FOR THE HOMELESS, INC.",ORLANDO,FL,"HEALTH CARE CENTER FOR THE HOMELESS, INC., ORLANDO, FL",Health Care Center for the Homeless,"232 Orange Blossom Trail, Orlando, FL 32805, USA",(407) 428-5751,28.5453723,-81.3978235
"RURAL HEALTH CARE, INCORPORATED",PALATKA,FL,"RURAL HEALTH CARE, INCORPORATED, PALATKA, FL",Rural Health Care Inc,"2503 President St, Palatka, FL 32177, USA",,29.6414198,-81.6551541
"MCR HEALTH, INC.",PALMETTO,FL,"MCR HEALTH, INC., PALMETTO, FL",MCR Health,"700 8th Ave W #101, Palmetto, FL 34221, USA",(941) 776-4000,27.5178734,-82.5726252
PANCARE OF FLORIDA INC,PANAMA CITY,FL,"PANCARE OF FLORIDA INC, PANAMA CITY, FL",PanCare Health,"403 E 11th St, Panama City, FL 32401, USA",(850) 767-3350,30.1680964,-85.6553364
"ESCAMBIA COMMUNITY CLINICS, INC.",PENSACOLA,FL,"ESCAMBIA COMMUNITY CLINICS, INC., PENSACOLA, FL","Escambia Community Clinics, Inc.","14 W Jordan St, Pensacola, FL 32501, USA",(850) 436-4630,30.4338425,-87.2211331
"NORTHEAST FLORIDA HEALTH SERVICES, INC.",PIERSON,FL,"NORTHEAST FLORIDA HEALTH SERVICES, INC., PIERSON, FL",Pierson Medical Services,"216 N Frederick St, Pierson, FL 32180, USA",(386) 749-2883,29.2446036,-81.4593398
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",RUSKIN,FL,"SUNCOAST COMMUNITY HEALTH CENTERS, INC., RUSKIN, FL",Ruskin Health Center - Suncoast Community Health Centers,"2814 14th Ave SE, Ruskin, FL 33570, USA",(813) 653-6100,27.7065186,-82.3948005
"COMMUNITY HEALTH CENTERS OF PINELLAS, INC.",SAINT PETERSBURG,FL,"COMMUNITY HEALTH CENTERS OF PINELLAS, INC., SAINT PETERSBURG, FL","Community Health Centers of Pinellas, Inc.","1344 22nd St S, St. Petersburg, FL 33712, USA",(727) 824-8181,27.7569067,-82.662824
"CENTRAL FLORIDA FAMILY HEALTH CENTER, INC.",SANFORD,FL,"CENTRAL FLORIDA FAMILY HEALTH CENTER, INC., SANFORD, FL",True Health - Sanford,"4930 E Lake Mary Blvd, Sanford, FL 32771, USA",(407) 322-8645,28.792292,-81.2135364
"PROJECT HEALTH, INC.",SUMTERVILLE,FL,"PROJECT HEALTH, INC., SUMTERVILLE, FL",Langley Health Services,"1389 US-301, Sumterville, FL 33585, USA",(352) 793-5900,28.7362065,-82.0675312
"BOND COMMUNITY HEALTH CENTER, INC.",TALLAHASSEE,FL,"BOND COMMUNITY HEALTH CENTER, INC., TALLAHASSEE, FL",Bond Community Health Center Inc.,"1720 S Gadsden St, Tallahassee, FL 32301, USA",(850) 576-4073,30.4253402,-84.278648
NEIGHBORHOOD MEDICAL CENTER INC.,TALLAHASSEE,FL,"NEIGHBORHOOD MEDICAL CENTER INC., TALLAHASSEE, FL",Neighborhood Medical Center,"872 W Orange Ave, Tallahassee, FL 32310, USA",(850) 300-7262,30.4130947,-84.2968116
"NORTH FLORIDA MEDICAL CENTERS, INC.",TALLAHASSEE,FL,"NORTH FLORIDA MEDICAL CENTERS, INC., TALLAHASSEE, FL",North Florida Medical Center,"2804 Remington Green Cir, Tallahassee, FL 32308, USA",(850) 385-4494,30.4921504,-84.2440242
"TAMPA FAMILY HEALTH CENTERS, INC.",TAMPA,FL,"TAMPA FAMILY HEALTH CENTERS, INC., TAMPA, FL",Tampa Family Health Centers,"7814 N Dale Mabry Hwy, Tampa, FL 33614, USA",(813) 405-3939,28.0187985,-82.5058309
TRENTON MEDICAL CENTER INC,TRENTON,FL,"TRENTON MEDICAL CENTER INC, TRENTON, FL",Palms Medical Group,"911 S Main St, Trenton, FL 32693, USA",(352) 463-2374,29.6074539,-82.8188522
"FLORIDA COMMUNITY HEALTH CENTERS, INC.",WEST PALM BEACH,FL,"FLORIDA COMMUNITY HEALTH CENTERS, INC., WEST PALM BEACH, FL",Florida Community Health Center,"5827 Corporate Way, West Palm Beach, FL 33407, USA",(561) 844-9443,26.7630792,-80.0918595
FOUNDCARE INC.,WEST PALM BEACH,FL,"FOUNDCARE INC., WEST PALM BEACH, FL","FoundCare, Inc.","2330 S Congress Ave, West Palm Beach, FL 33406, USA",(561) 432-5849,26.6417899,-80.087844
HEALTH CARE DISTRICT OF PALM BEACH COUNTY,WEST PALM BEACH,FL,"HEALTH CARE DISTRICT OF PALM BEACH COUNTY, WEST PALM BEACH, FL",Health Care District of Palm Beach County Main Office,"1515 N Flagler Dr #101, West Palm Beach, FL 33401, USA",(561) 659-1270,26.726456,-80.051135
"COMMUNITY HEALTH CENTERS, INC.",WINTER GARDEN,FL,"COMMUNITY HEALTH CENTERS, INC., WINTER GARDEN, FL",Community Health Centers,"13275 W Colonial Dr, Winter Garden, FL 34787, USA",(407) 905-8827,28.552386,-81.5796116
"CENTRAL FLORIDA HEALTH CARE, INC.",WINTER HAVEN,FL,"CENTRAL FLORIDA HEALTH CARE, INC., WINTER HAVEN, FL",Central Florida Health Care - Winter Haven,"1514 1st St N, Winter Haven, FL 33881, USA",(866) 234-8534,28.0375838,-81.7264073
"ALBANY AREA PRIMARY HEALTH CARE, INC",ALBANY,GA,"ALBANY AREA PRIMARY HEALTH CARE, INC, ALBANY, GA",Albany Area Primary Health Care,"204 N Westover Blvd, Albany, GA 31707, USA",(229) 888-6559,31.5916747,-84.218789
ATHENS NEIGHBORHOOD HEALTH CENTER,ATHENS,GA,"ATHENS NEIGHBORHOOD HEALTH CENTER, ATHENS, GA",Athens Neighborhood Health Center - East,"402 McKinley Dr, Athens, GA 30601, USA",(706) 543-1145,33.9588916,-83.3552597
"CENTER FOR PAN ASIAN COMMUNITY SERVICES, INC.",ATLANTA,GA,"CENTER FOR PAN ASIAN COMMUNITY SERVICES, INC., ATLANTA, GA",Center for Pan Asian Community Services,"3510 Shallowford Rd, Atlanta, GA 30341, USA",(770) 936-0969,33.89148,-84.2866626
"COMMUNITY HEALTH, GEORGIA DEPT OF",ATLANTA,GA,"COMMUNITY HEALTH, GEORGIA DEPT OF, ATLANTA, GA",Georgia Department of Community Health,"1249 Donald Lee Hollowell Pkwy NW, Atlanta, GA 30318, USA",(404) 656-4507,33.7737531,-84.4281838
"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE",ATLANTA,GA,"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE, ATLANTA, GA","The Family Health Centers of Georgia, Inc.","868 York Ave SW, Atlanta, GA 30310, USA",(404) 752-1400,33.736796,-84.416374
"HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC.",ATLANTA,GA,"HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC., ATLANTA, GA",HEALing Community Center at Neighborhood Union,"186 Sunset Ave NW, Atlanta, GA 30314, USA",(404) 477-1184,33.759625,-84.410418
"MERIDIAN EDUCATION RESOURCE GROUP, INC.",ATLANTA,GA,"MERIDIAN EDUCATION RESOURCE GROUP, INC., ATLANTA, GA","Whitefoord, Inc.","1353 George W Brumley Way SE, Atlanta, GA 30317, USA",(404) 523-2500,33.7523182,-84.343337
"PALMETTO HEALTH COUNCIL, INC",ATLANTA,GA,"PALMETTO HEALTH COUNCIL, INC, ATLANTA, GA",Palmetto Health Dental Center,"10 Richland Medical Park Cola, Atlanta, GA 30306, USA",(404) 434-6567,33.7845409,-84.3489467
SAINT JOSEPHS MERCY CARE SVCS,ATLANTA,GA,"SAINT JOSEPHS MERCY CARE SVCS, ATLANTA, GA",Mercy Care,"424 Decatur St SE, Atlanta, GA 30312, USA",(678) 843-8600,33.7509488,-84.3744307
"SOUTHSIDE MEDICAL CENTER, INC.",ATLANTA,GA,"SOUTHSIDE MEDICAL CENTER, INC., ATLANTA, GA",Southside Medical Center,"1046 Ridge Ave SW, Atlanta, GA 30315, USA",(404) 688-1350,33.7270457,-84.3918858
"NEIGHBORHOOD IMPROVEMENT PROJECT, INC.",AUGUSTA,GA,"NEIGHBORHOOD IMPROVEMENT PROJECT, INC., AUGUSTA, GA",Neighborhood Improvement project inc,"2467 Golden Camp Rd, Augusta, GA 30906, USA",(706) 790-4440,33.429071,-82.0511219
"PRIMARY CARE OF SOUTHWEST GEORGIA, INC.",BLAKELY,GA,"PRIMARY CARE OF SOUTHWEST GEORGIA, INC., BLAKELY, GA","Primary Care of Southwest GA, Inc.","360 College St, Blakely, GA 39823, USA",(229) 723-2660,31.3790776,-84.9384075
"COASTAL COMMUNITY HEALTH SERVICES, INC.",BRUNSWICK,GA,"COASTAL COMMUNITY HEALTH SERVICES, INC., BRUNSWICK, GA","Coastal Community Health Services, Inc","106 Shoppers Way, Brunswick, GA 31525, USA",(912) 275-8028,31.2195073,-81.4876793
"VALLEY HEALTHCARE SYSTEM, INC.",COLUMBUS,GA,"VALLEY HEALTHCARE SYSTEM, INC., COLUMBUS, GA",Valley Healthcare System,"1600 Fort Benning Rd, Columbus, GA 31903, USA",(706) 322-9599,32.4240963,-84.9373089
"PRIMARY HEALTH CARE CENTER OF DADE, INC.",LA FAYETTE,GA,"PRIMARY HEALTH CARE CENTER OF DADE, INC., LA FAYETTE, GA",Primary Healthcare Centers,"13570 N Main St, Trenton, GA 30752, USA",(706) 956-2665,34.8874974,-85.4992133
"DIVERSITY HEALTH CENTER, INC.",LUDOWICI,GA,"DIVERSITY HEALTH CENTER, INC., LUDOWICI, GA",Diversity Health Center,"Ludowici, GA 31316, USA",(912) 545-9398,31.7149786,-81.7486945
"FIRST CHOICE PRIMARY CARE, INC.",MACON,GA,"FIRST CHOICE PRIMARY CARE, INC., MACON, GA",First Choice Primary Care,"770 Walnut St, Macon, GA 31201, USA",(478) 787-4266,32.8404343,-83.6296189
"GOOD SAMARITAN HEALTH CENTER OF COBB, INC.",MARIETTA,GA,"GOOD SAMARITAN HEALTH CENTER OF COBB, INC., MARIETTA, GA",Good Samaritan Health Center Of Cobb,"1605 Roberta Dr, Marietta, GA 30008, USA",(770) 419-3120,33.913915,-84.556376
"FOUR CORNERS PRIMARY CARE CENTERS, INC.",NORCROSS,GA,"FOUR CORNERS PRIMARY CARE CENTERS, INC., NORCROSS, GA",Four Corners Primary Care Centr,"5300 Oakbrook Pkwy #130, Norcross, GA 30093, USA",(770) 806-2928,33.9187471,-84.1814629
"CARECONNECT HEALTH, INC.",RICHLAND,GA,"CARECONNECT HEALTH, INC., RICHLAND, GA","CareConnect Family Practice and Pediatrics, Richland","510 Alston St, Richland, GA 31825, USA",(229) 887-3324,32.0861377,-84.6606629
"CURTIS V COOPER PRIMARY HEALTH CARE, INC.",SAVANNAH,GA,"CURTIS V COOPER PRIMARY HEALTH CARE, INC., SAVANNAH, GA",Curtis V. Cooper Primary Health Care Inc,"106 E Broad St, Savannah, GA 31401, USA",(912) 527-1000,32.076217,-81.08459
J C LEWIS HEALTH CENTER,SAVANNAH,GA,"J C LEWIS HEALTH CENTER, SAVANNAH, GA",J.C. Lewis Primary Health Care Center,"5 Mall, Annex, Savannah, GA 31406, USA",(912) 495-8887,32.000769,-81.1190658
"OAKHURST MEDICAL CENTERS, INC.",STONE MOUNTAIN,GA,"OAKHURST MEDICAL CENTERS, INC., STONE MOUNTAIN, GA",MedCura Health formerly Oakhurst Medical Center,"5582 Memorial Dr, Stone Mountain, GA 30083, USA",(404) 298-8998,33.7994911,-84.212672
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,"EAST GEORGIA HEALTHCARE CENTER, INC., SWAINSBORO, GA",East Georgia Healthcare Center,"215 N Coleman St, Swainsboro, GA 30401, USA",(478) 237-2638,32.5998643,-82.3344223
COMMUNITY HEALTH CARE SYSTEMS INC,WRIGHTSVILLE,GA,"COMMUNITY HEALTH CARE SYSTEMS INC, WRIGHTSVILLE, GA","Community Healthcare Systems, Inc.","2251 W Elm St, Wrightsville, GA 31096, USA",(478) 864-2600,32.7293952,-82.7300557
GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,HAGATNA,GU,"GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION, HAGATNA, GU",Department of Administration,"212, Hagåtña, 96910, Guam",(671) 475-1101,13.473614,144.7508061
"BAY CLINIC, INC.",HILO,HI,"BAY CLINIC, INC., HILO, HI","Bay Clinic, Inc. - Hilo Family Health Center","1178 Kinoole St BLDG B, Hilo, HI 96720, USA",(808) 333-3600,19.7103035,-155.0797594
HAMAKUA HEALTH CENTER INC,HONOKAA,HI,"HAMAKUA HEALTH CENTER INC, HONOKAA, HI",Hamakua Health Center,"45-549 Plumeria St, Honokaa, HI 96727, USA",(808) 775-7204,20.0758589,-155.4700508
KALIHI PALAMA HEALTH CENTER,HONOLULU,HI,"KALIHI PALAMA HEALTH CENTER, HONOLULU, HI",Kalihi-Palama Health Center,"915 N King St, Honolulu, HI 96817, USA",(808) 848-1438,21.3228144,-157.8682726
KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),HONOLULU,HI,"KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES), HONOLULU, HI",Kokua Kalihi Valley,"2239 N School St, Honolulu, HI 96819, USA",(808) 791-9400,21.3406929,-157.8745813
WAIKIKI HEALTH,HONOLULU,HI,"WAIKIKI HEALTH, HONOLULU, HI",Waikiki Health Center,"277 ʻŌhua Ave, Honolulu, HI 96815, USA",(808) 922-4787,21.275595,-157.8205107
KO`OLAULOA HEALTH CENTER,KAHUKU,HI,"KO`OLAULOA HEALTH CENTER, KAHUKU, HI",Ko`olauloa Health Center,"56-119 Pualalea St, Kahuku, HI 96731, USA",(808) 293-9231,21.6760208,-157.9535699
"MOLOKAI OHANA HEALTH CARE, INC",KAUNAKAKAI,HI,"MOLOKAI OHANA HEALTH CARE, INC, KAUNAKAKAI, HI",Molokai Community Health Center,"30 Oki Pl, Kaunakakai, HI 96748, USA",(808) 553-5038,21.0860191,-157.0192094
LANA'I COMMUNITY HEALTH CENTER,LANAI CITY,HI,"LANA'I COMMUNITY HEALTH CENTER, LANAI CITY, HI",Lāna'i Community Health Center,"333 6th St, Lanai City, HI 96763, USA",(808) 565-6919,20.8265134,-156.9211427
HO-OLA LAHUI HAWAII INC,LIHUE,HI,"HO-OLA LAHUI HAWAII INC, LIHUE, HI",Ho'ola Lahui Hawaii,"4491 Rice St, Lihue, HI 96766, USA",,21.975234,-159.3706572
"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",WAIANAE,HI,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED, WAIANAE, HI",Waianae Coast Comprehensive Health Center,"86-260 Farrington Hwy, Waianae, HI 96792, USA",(808) 697-3300,21.4299537,-158.1798276
"COMMUNITY CLINIC OF MAUI, INC.",WAILUKU,HI,"COMMUNITY CLINIC OF MAUI, INC., WAILUKU, HI",Community Clinic of Maui,"1881 Nani St, Wailuku, HI 96793, USA",(808) 871-7772,20.8886664,-156.4994157
WAIMANALO HEALTH CENTER,WAIMANALO,HI,"WAIMANALO HEALTH CENTER, WAIMANALO, HI",Waimānalo Health Center - Medical Services,"41-1295 Kalanianaʻole Hwy, Waimanalo, HI 96795, USA",(808) 259-7948,21.3470876,-157.7145294
FAMILY MEDICINE RESIDENCY OF IDAHO,BOISE,ID,"FAMILY MEDICINE RESIDENCY OF IDAHO, BOISE, ID",Family Medicine Residency of Idaho - Raymond Clinic,"777 N Raymond St, Boise, ID 83704, USA",(208) 514-2500,43.6114669,-116.264795
"DIRNE HEALTH CENTERS, INC.",COEUR D ALENE,ID,"DIRNE HEALTH CENTERS, INC., COEUR D ALENE, ID",Heritage Health,"1090 W Park Pl, Coeur d'Alene, ID 83814, USA",(208) 620-5250,47.6947904,-116.8010062
SHOSHONE-BANNOCK TRIBES OF THE FORT HALL RESERVATION OF IDAHO,FORT HALL,ID,"SHOSHONE-BANNOCK TRIBES OF THE FORT HALL RESERVATION OF IDAHO, FORT HALL, ID",Shoshone-Bannock Tribes,"306 Pima Dr, Fort Hall, ID 83203, USA",(208) 478-3700,43.0269859,-112.4336581
"GLENNS FERRY HEALTH CENTER, INC.",GLENNS FERRY,ID,"GLENNS FERRY HEALTH CENTER, INC., GLENNS FERRY, ID",Glenns Ferry Health Center,"486 W 1st Ave, Glenns Ferry, ID 83623, USA",(208) 366-7416,42.9540991,-115.3055128
"COMMUNITY HEALTH CLINICS, INC.",NAMPA,ID,"COMMUNITY HEALTH CLINICS, INC., NAMPA, ID",Terry Reilly Health Services - 16th St. Clinic,"223 16th Ave N, Nampa, ID 83687, USA",(208) 467-7654,43.5792411,-116.5521226
"VALLEY FAMILY HEALTH CARE, INC.",PAYETTE,ID,"VALLEY FAMILY HEALTH CARE, INC., PAYETTE, ID",Valley Family Health Care,"1441 NE 10th Ave, Payette, ID 83661, USA",(208) 642-9376,44.0580758,-116.9249811
BENEWAH MEDICAL CENTER,PLUMMER,ID,"BENEWAH MEDICAL CENTER, PLUMMER, ID",Marimn Health,"427 N 12th St, Plummer, ID 83851, USA",(208) 686-1931,47.3427318,-116.8938198
RURAL HEALTH INC,ANNA,IL,"RURAL HEALTH INC, ANNA, IL",Rural Health Inc,"513 N Main St, Anna, IL 62906, USA",(618) 833-4471,37.4634999,-89.2468527
