Health Center Name,City,State,Status,address,phone,lon,lat
FAMILY HEALTHCARE NETWORK,VISALIA,CA,Participating,,,,
VISTA COMMUNITY CLINIC,VISTA,CA,Participating,,,,
ELICA HEALTH CENTERS,W SACRAMENTO,CA,Invited,"155 15th St, West Sacramento, CA",916-375-8981,-121.52591399999999,38.57080901
SALUD PARA LA GENTE,WATSONVILLE,CA,Participating,,,,
EAST VALLEY COMMUNITY HEALTH CENTER INC,WEST COVINA,CA,Invited,,,,
WILMINGTON COMMUNITY CLINIC,WILMINGTON,CA,Invited,"1009 N Avalon Blvd, Wilmington, CA",310-549-5760,-118.2627245,33.7831597
"WINTERS HEALTHCARE FOUNDATION, INC.",WINTERS,CA,Invited,,,,
AMPLA HEALTH,YUBA CITY,CA,Invited,"2800 Lincoln St, Oroville, CA",530-891-9048,-121.5514003,39.50160414
"VALLEY WIDE HEALTH SYSTEMS, INC.",ALAMOSA,CO,Participating,,,,
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",AURORA,CO,Invited,,,,
PEAK VISTA COMMUNITY HEALTH CENTERS,COLORADO SPGS,CO,Invited,,,,
"COLORADO COALITION FOR THE HOMELESS, THE",DENVER,CO,Participating,,,,
DENVER HEALTH AND HOSPITALS AUTHORITY,DENVER,CO,Participating,,,,
LA CLINICA TEPEYAC INC,DENVER,CO,Invited,,,,
"METRO COMMUNITY PROVIDER NETWORK, INC.",ENGLEWOOD,CO,Participating,,,,
SUNRISE COMMUNITY HEALTH,EVANS,CO,Invited,,,,
"PLAN DE SALUD DEL VALLE, INC.",FORT LUPTON,CO,Participating,,,,
"SUMMIT COMMUNITY CARE CLINIC, INC.",FRISCO,CO,Invited,"360 Peak One Dr Ste 100, Frisco, CO",970-668-4040,-106.076622,39.57088539
MOUNTAIN FAMILY HEALTH CENTERS,GLENWOOD SPGS,CO,Invited,,,,
CLINICA CAMPESINA FAMILY HEALTH SERVICES,LAFAYETTE,CO,Invited,,,,
"OPTIMUS HEALTH CARE, INC.",BRIDGEPORT,CT,Invited,,,,
"SOUTHWEST COMMUNITY HEALTH CENTER, INC.",BRIDGEPORT,CT,Invited,,,,
"CONNECTICUT INSTITUTE FOR COMMUNITIES, INC.",DANBURY,CT,Invited,,,,
"FIRST CHOICE HEALTH CENTERS, INC.",EAST HARTFORD,CT,Participating,,,,
FAMILY CENTERS INC.,GREENWICH,CT,Invited,,,,
"CHARTER OAK HEALTH CENTER, INC",HARTFORD,CT,Participating,,,,
"COMMUNITY HEALTH SERVICES, INCORPORATED",HARTFORD,CT,Invited,,,,
"COMMUNITY HEALTH CENTER, INCORPORATED",MIDDLETOWN,CT,Participating,,,,
CORNELL SCOTT-HILL HEALTH CORPORATION,NEW HAVEN,CT,Invited,"400 Columbus Ave, New Haven, CT",203-503-3000,-72.93912069,41.29767911
FAIR HAVEN COMMUNITY HEALTH CLINIC INC,NEW HAVEN,CT,Participating,,,,
"NORWALK COMMUNITY HEALTH CENTER, INC.",NORWALK,CT,Invited,,,,
"STAYWELL HEALTH CARE, INC.",WATERBURY,CT,Invited,"80 Phoenix Ave, Waterbury, CT",203-756-8021 x3012,-73.03926716,41.55714545
"GENERATIONS FAMILY HEALTH CENTER, INC.",WILLIMANTIC,CT,Invited,"40 Mansfield Ave, Willimantic, CT",860-450-7471,-72.22451382,41.71518095
"LA RED HEALTH CENTER, INC.",GEORGETOWN,DE,Participating,,,,
SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC,WILMINGTON,DE,Invited,,,,
"WESTSIDE FAMILY HEALTHCARE, INC.",WILMINGTON,DE,Invited,,,,
"BREAD FOR THE CITY, INC.",WASHINGTON,DC,Invited,,,,
"COMMUNITY OF HOPE, INC.",WASHINGTON,DC,Invited,,,,
"ELAINE ELLIS CENTER OF HEALTH, INC.",WASHINGTON,DC,Invited,,,,
FAMILY AND MEDICAL COUNSELING SERVICE INC,WASHINGTON,DC,Invited,,,,
"LA CLINICA DEL PUEBLO, INC.",WASHINGTON,DC,Invited,,,,
"MARY'S CENTER FOR MATERNAL AND CHILD CARE, INC.",WASHINGTON,DC,Participating,,,,
"UNITY HEALTH CARE, INC.",WASHINGTON,DC,Participating,,,,
CHUUK STATE DEPARTMENT OF HEALTH SERVICES,CHUUK,FM,Invited,,,,
POHNPEI COMMUNITY HEALTH CENTRE,POHNPEI,FM,Invited,,,,
YAP STATE DEPARTMENT OF HEALTH SERVICES,YAP,FM,Invited,,,,
"GENESIS COMMUNITY HEALTH, INC.",BOYNTON BEACH,FL,Invited,,,,
"PINELLAS, COUNTY OF",CLEARWATER,FL,Invited,,,,
"COMMUNITY HEALTH SOUTH FLORIDA, INC.",CUTLER BAY,FL,Participating,,,,
"PREMIER COMMUNITY HEALTHCARE GROUP, INC.",DADE CITY,FL,Participating,,,,
"HEALTH, FLORIDA DEPARTMENT OF",DEFUNIAK SPGS,FL,Invited,,,,
"TREASURE COAST COMMUNITY HEALTH, INC.",FELLSMERE,FL,Participating,"12196 County Road 512, Fellsmere, FL",772-571-8828,-80.57663282,27.76770831
"FAMILY HEALTH CENTERS OF SOUTHWEST FLORIDA, INC.",FORT MYERS,FL,Participating,,,,
NORTH BROWARD HOSPITAL DISTRICT,FT LAUDERDALE,FL,Invited,,,,
"CITRUS HEALTH NETWORK, INC.",HIALEAH,FL,Invited,"4175 W 20th Ave, Hialeah, FL",305-825-0300,-80.32227618,25.85975112
"BROWARD COMMUNITY AND FAMILY HEALTH CENTERS, INC.",HOLLYWOOD,FL,Invited,,,,
"COLLIER HEALTH SERVICES, INC.",IMMOKALEE,FL,Participating,,,,
"AGAPE COMMUNITY HEALTH CENTER, INC.",JACKSONVILLE,FL,Invited,,,,
"I.M. SULZBACHER CENTER FOR THE HOMELESS, INC.",JACKSONVILLE,FL,Invited,,,,
"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC.",KISSIMMEE,FL,Participating,,,,
"BANYAN COMMUNITY HEALTH CENTER, INC.",MIAMI,FL,Invited,,,,
"BORINQUEN HEALTH CARE CENTER, INC.",MIAMI,FL,Participating,,,,
CAMILLUS HEALTH CONCERN INC,MIAMI,FL,Invited,,,,
CARE RESOURCE COMMUNITY HEALTH CENTERS INCORPORATED,MIAMI,FL,Invited,,,,
"EMPOWER U, INCORPORATED",MIAMI,FL,Invited,,,,
"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC.",MIAMI,FL,Participating,,,,
MIAMI BEACH COMMUNITY HEALTH CENTER INC.,MIAMI BEACH,FL,Participating,,,,
"CENTER FOR FAMILY AND CHILD ENRICHMENT, INC., THE",MIAMI GARDENS,FL,Invited,,,,
"HEART OF FLORIDA HEALTH CENTER, INC.",OCALA,FL,Invited,,,,
"HEALTH CARE CENTER FOR THE HOMELESS, INC.",ORLANDO,FL,Invited,,,,
"RURAL HEALTH CARE, INCORPORATED",PALATKA,FL,Invited,,,,
"MCR HEALTH, INC.",PALMETTO,FL,Participating,,,,
PANCARE OF FLORIDA INC,PANAMA CITY,FL,Invited,,,,
"ESCAMBIA COMMUNITY CLINICS, INC.",PENSACOLA,FL,Participating,"14 W Jordan St Ste 2G, Pensacola, FL",850-436-4630,-87.22110485,30.43347715
"NORTHEAST FLORIDA HEALTH SERVICES, INC.",PIERSON,FL,Invited,,,,
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",RUSKIN,FL,Participating,,,,
"COMMUNITY HEALTH CENTERS OF PINELLAS, INC.",SAINT PETERSBURG,FL,Participating,,,,
"CENTRAL FLORIDA FAMILY HEALTH CENTER, INC.",SANFORD,FL,Invited,,,,
"PROJECT HEALTH, INC.",SUMTERVILLE,FL,Invited,,,,
"BOND COMMUNITY HEALTH CENTER, INC.",TALLAHASSEE,FL,Participating,,,,
NEIGHBORHOOD MEDICAL CENTER INC.,TALLAHASSEE,FL,Invited,,,,
"NORTH FLORIDA MEDICAL CENTERS, INC.",TALLAHASSEE,FL,Invited,,,,
"TAMPA FAMILY HEALTH CENTERS, INC.",TAMPA,FL,Participating,,,,
TRENTON MEDICAL CENTER INC,TRENTON,FL,Invited,,,,
FOUNDCARE INC.,WEST PALM BCH,FL,Invited,,,,
"FLORIDA COMMUNITY HEALTH CENTERS, INC.",WEST PALM BEACH,FL,Participating,,,,
HEALTH CARE DISTRICT OF PALM BEACH COUNTY,WEST PALM BEACH,FL,Invited,,,,
"COMMUNITY HEALTH CENTERS, INC.",WINTER GARDEN,FL,Participating,"12716 NE 36th St, Choctaw, FL",405-203-7628,-97.30549075,35.507619399999996
"CENTRAL FLORIDA HEALTH CARE, INC.",WINTER HAVEN,FL,Invited,,,,
"ALBANY AREA PRIMARY HEALTH CARE, INC",ALBANY,GA,Invited,,,,
ATHENS NEIGHBORHOOD HEALTH CENTER,ATHENS,GA,Invited,,,,
"CENTER FOR PAN ASIAN COMMUNITY SERVICES, INC.",ATLANTA,GA,Invited,,,,
"COMMUNITY HEALTH, GEORGIA DEPT OF",ATLANTA,GA,Invited,,,,
"FAMILY HEALTH CENTERS OF GEORGIA, INC., THE",ATLANTA,GA,Invited,,,,
"HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC.",ATLANTA,GA,Invited,,,,
"MERIDIAN EDUCATION RESOURCE GROUP, INC.",ATLANTA,GA,Invited,,,,
"PALMETTO HEALTH COUNCIL, INC",ATLANTA,GA,Invited,,,,
SAINT JOSEPHS MERCY CARE SVCS,ATLANTA,GA,Participating,,,,
"SOUTHSIDE MEDICAL CENTER, INC.",ATLANTA,GA,Invited,,,,
"NEIGHBORHOOD IMPROVEMENT PROJECT, INC.",AUGUSTA,GA,Invited,,,,
"PRIMARY CARE OF SOUTHWEST GEORGIA, INC.",BLAKELY,GA,Invited,,,,
"COASTAL COMMUNITY HEALTH SERVICES, INC.",BRUNSWICK,GA,Invited,,,,
"VALLEY HEALTHCARE SYSTEM, INC.",COLUMBUS,GA,Invited,,,,
"PRIMARY HEALTH CARE CENTER OF DADE, INC.",LA FAYETTE,GA,Invited,,,,
"DIVERSITY HEALTH CENTER, INC.",LUDOWICI,GA,Invited,,,,
"FIRST CHOICE PRIMARY CARE, INC.",MACON,GA,Invited,,,,
"GOOD SAMARITAN HEALTH CENTER OF COBB, INC.",MARIETTA,GA,Invited,,,,
"FOUR CORNERS PRIMARY CARE CENTERS, INC.",NORCROSS,GA,Invited,,,,
"CARECONNECT HEALTH, INC.",RICHLAND,GA,Invited,,,,
"CURTIS V COOPER PRIMARY HEALTH CARE, INC.",SAVANNAH,GA,Invited,,,,
J C LEWIS HEALTH CENTER,SAVANNAH,GA,Invited,,,,
"OAKHURST MEDICAL CENTERS, INC.",STONE MOUNTAIN,GA,Invited,,,,
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,Participating,"1636 Hatch Pkwy S, Baxley, GA",912-705-5656,-82.35960548,31.75706406
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,Participating,"118 Alice Coleman Dr, Vidalia, GA",478-537-6565,-82.36358526,32.20108722
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,Participating,"452 Second St, Soperton, GA",912-529-5533,-82.59486879,32.37483912
"EAST GEORGIA HEALTHCARE CENTER, INC.",SWAINSBORO,GA,Participating,"215 N Coleman St, Swainsboro, GA",478-237-6262 x1513,-82.33383635,32.59969613
COMMUNITY HEALTH CARE SYSTEMS INC,WRIGHTSVILLE,GA,Invited,,,,
GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,HAGATNA,GU,Invited,,,,
"BAY CLINIC, INC.",HILO,HI,Invited,,,,
HAMAKUA HEALTH CENTER INC,HONOKAA,HI,Invited,,,,
KALIHI PALAMA HEALTH CENTER,HONOLULU,HI,Invited,,,,
KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),HONOLULU,HI,Invited,,,,
WAIKIKI HEALTH,HONOLULU,HI,Invited,,,,
KO`OLAULOA HEALTH CENTER,KAHUKU,HI,Invited,,,,
"MOLOKAI OHANA HEALTH CARE, INC",KAUNAKAKAI,HI,Invited,,,,
LANA'I COMMUNITY HEALTH CENTER,LANAI CITY,HI,Invited,,,,
HO-OLA LAHUI HAWAII INC,LIHUE,HI,Invited,,,,
"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",WAIANAE,HI,Invited,,,,
"COMMUNITY CLINIC OF MAUI, INC.",WAILUKU,HI,Invited,,,,
WAIMANALO HEALTH CENTER,WAIMANALO,HI,Invited,"41-1347 Kalanianaole Hwy, Waimanalo, HI",808-259-7948,-157.7163103,21.34716637
FAMILY MEDICINE RESIDENCY OF IDAHO,BOISE,ID,Invited,,,,
"DIRNE HEALTH CENTERS, INC.",COEUR D ALENE,ID,Invited,,,,
SHOSHONE-BANNOCK TRIBES OF THE FORT HALL RESERVATION OF IDAHO,FORT HALL,ID,Invited,,,,
"GLENNS FERRY HEALTH CENTER, INC.",GLENNS FERRY,ID,Invited,,,,
"COMMUNITY HEALTH CLINICS, INC.",NAMPA,ID,Participating,,,,
"VALLEY FAMILY HEALTH CARE, INC.",PAYETTE,ID,Invited,,,,
BENEWAH MEDICAL CENTER,PLUMMER,ID,Invited,"427 12th St, Plummer, ID",208-686-1931,-116.89152340000001,47.33452441
RURAL HEALTH INC,ANNA,IL,Invited,,,,
"VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION",AURORA,IL,Participating,,,,
"COMMUNITY HEALTH & EMERGENCY SERVICES, INC",CAIRO,IL,Invited,,,,
"MACOUPIN, COUNTY OF",CARLINVILLE,IL,Invited,,,,
SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,CARTERVILLE,IL,Invited,,,,
ACCESS COMMUNITY HEALTH NETWORK,CHICAGO,IL,Participating,,,,
"ALIVIO MEDICAL CENTER, INC",CHICAGO,IL,Invited,,,,
ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,CHICAGO,IL,Invited,,,,
BELOVED COMMUNITY FAMILY WELLNESS CENTER,CHICAGO,IL,Invited,"6821 S Halsted St, Chicago, IL",773-651-3629,-87.64450915,41.76994508
"CHICAGO FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Invited,"9119 S Exchange Ave, Chicago, IL",773-768-5000,-87.55254011,41.72948529
CHRISTIAN COMMUNITY HEALTH CENTER,CHICAGO,IL,Invited,"9718 S Halsted St, Chicago, IL",773-233-4100,-87.64318799,41.7169831
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited,"112 E Main St, Princeville, IL",309-363-5089,-89.75689275,40.93021391
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited,"1009 Main St, Mendota, IL",815-539-6124,-89.11845305,41.55151335
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited,"202 N Schuyler Ave Ste 206, Kankakee, IL",815-932-6045,-87.86358798,41.12173935
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited,"157 S Lincoln Ave Ste C, Aurora, IL",630-966-4572,-88.31396488,41.75256029999999
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited,"157 S Lincoln Ave Ste D, Aurora, IL",630-859-0015,-88.31396488,41.75256029999999
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,CHICAGO,IL,Invited,"62 N Ayer St Ste A, Harvard, IL",815-943-4339,-88.61439115,42.42139363
"ERIE FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Participating,,,,
ESPERANZA HEALTH CENTERS,CHICAGO,IL,Participating,,,,
"FRIEND FAMILY HEALTH CENTER, INC.",CHICAGO,IL,Invited,,,,
HEARTLAND ALLIANCE HEALTH,CHICAGO,IL,Participating,,,,
HEARTLAND INTERNATIONAL HEALTH CENTERS,CHICAGO,IL,Invited,,,,
HOWARD BROWN HEALTH CENTER,CHICAGO,IL,Invited,,,,
INNER CITY MUSLIM ACTION NETWORK,CHICAGO,IL,Invited,,,,
LAWNDALE CHRISTIAN HEALTH CENTER,CHICAGO,IL,Invited,,,,
"NEAR NORTH HEALTH SERVICE CORPORATION, THE",CHICAGO,IL,Invited,,,,
"PRIMECARE COMMUNITY HEALTH, INC.",CHICAGO,IL,Invited,,,,
"TCA HEALTH, INC. NFP",CHICAGO,IL,Invited,,,,
UNIVERSITY OF ILLINOIS,CHICAGO,IL,Invited,,,,
COMMUNITY HEALTH IMPROVEMENT CENTER,DECATUR,IL,Invited,,,,
"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC.",E SAINT LOUIS,IL,Participating,,,,
GREATER ELGIN FAMILY CARE CENTER,ELGIN,IL,Participating,,,,
FAMILY CHRISTIAN HEALTH CENTER,HARVEY,IL,Invited,"31 W 155th St, Harvey, IL",708-596-5177,-87.65797654,41.60818669
FAMILY CHRISTIAN HEALTH CENTER,HARVEY,IL,Invited,"713 E 142nd St, Dolton, IL",708-596-5177,-87.6020688,41.6371391
WILL COUNTY COMMUNITY HEALTH CENTER,JOLIET,IL,Invited,"1106 Neal Ave, Joliet, IL",815-727-5935,-88.06879212,41.50381483
PILLARS COMMUNITY HEALTH,LA GRANGE,IL,Invited,"23 W Calendar Ave, La Grange, IL",708-745-5277,-87.87079287,41.81481093
PCC COMMUNITY WELLNESS CENTER,OAK PARK,IL,Invited,"14 Lake St, Oak Park, IL",708-383-0113,-87.77549566,41.88806336
"AUNT MARTHA'S HEALTH AND WELLNESS, INC.",OLYMPIA FLDS,IL,Invited,,,,
CRUSADERS CENTRAL CLINIC ASSOCIATION,ROCKFORD,IL,Invited,,,,
SOUTHERN ILLINOIS UNIVERSITY,SPRINGFIELD,IL,Invited,,,,
"LAKE, COUNTY OF",WAUKEGAN,IL,Invited,,,,
VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER INC.,CLINTON,IN,Invited,,,,
"HEART CITY HEALTH CENTER, INC.",ELKHART,IN,Invited,,,,
"COMMUNITY HEALTHNET, INC",GARY,IN,Invited,,,,
"MAPLE CITY HEALTH CARE CENTER, INC.",GOSHEN,IN,Invited,,,,
INDIANA HEALTH CENTERS INCORPORATED,INDIANAPOLIS,IN,Invited,,,,
"RAPHAEL HEALTH CENTER, INC.",INDIANAPOLIS,IN,Invited,,,,
"SHALOM HEALTH CARE CENTER, INC.",INDIANAPOLIS,IN,Invited,,,,
THE HEALTH & HOSPITAL CORP OF MARION COUNTY,INDIANAPOLIS,IN,Participating,,,,
LIFESPRING INC.,JEFFERSONVLLE,IN,Invited,"460 Spring St, Jeffersonville, IN",812-280-2080,-85.74210923,38.27408201
SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,MERRILLVILLE,IN,Invited,,,,
"OPEN DOOR HEALTH SERVICES, INC.",MUNCIE,IN,Invited,,,,
ASPIRE HEALTH CENTER,NOBLESVILLE,IN,Invited,,,,
"HEALTHLINC, INC.",VALPARAISO,IN,Participating,,,,
PORTER STARKE SERVICES INC,VALPARAISO,IN,Invited,,,,
EASTERN IOWA HEALTH CENTER,CEDAR RAPIDS,IA,Invited,"1201 3rd Ave SE, Cedar Rapids, IA",319-730-7300,-91.65537629999999,41.98313342
ALL CARE HEALTH CENTER,COUNCIL BLFS,IA,Invited,"902 S 6th St, Council Bluffs, IA",712-325-1990,-95.85310047,41.25298524
"COMMUNITY HEALTH CARE, INC.",DAVENPORT,IA,Participating,,,,
PROTEUS INC.,DES MOINES,IA,Invited,,,,
CRESCENT COMMUNITY HEALTH CENTER,DUBUQUE,IA,Invited,"1690 Elm St Ste 400, Dubuque, IA",563-690-2860,-90.66425003,42.50950902
CRESCENT COMMUNITY HEALTH CENTER,DUBUQUE,IA,Invited,"1690 Elm St Ste 300, Dubuque, IA",563-690-2860,-90.66425003,42.50950902
SIOUXLAND COMMUNITY HEALTH CENTER,SIOUX CITY,IA,Invited,"1021 Nebraska St, Sioux City, IA",712-252-2477,-96.40355731,42.50140942
PRIMARY HEALTH CARE INC,URBANDALE,IA,Invited,,,,
ATCHISON COMMUNITY HEALTH CLINIC,ATCHISON,KS,Invited,"1412 N 2nd St, Atchison, KS",913-367-4879,-95.11518436,39.57904002
"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC.",GARDEN CITY,KS,Invited,,,,
TURNER HOUSE CLINIC INC.,KANSAS CITY,KS,Invited,,,,
"COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS, INC.",PITTSBURG,KS,Participating,,,,
"GRACEMED HEALTH CLINIC, INC.",WICHITA,KS,Participating,,,,
HEALTHCORE CLINIC INC,WICHITA,KS,Invited,,,,
"HUNTER HEALTH CLINIC INC, THE",WICHITA,KS,Invited,,,,
"A+ FAMILY HEALTHCARE, LLC",BROWNSVILLE,KY,Invited,,,,
"CUMBERLAND FAMILY MEDICAL CENTER, INC.",BURKESVILLE,KY,Invited,,,,
"HEALTHFIRST BLUEGRASS, INC.",LEXINGTON,KY,Invited,,,,
UNIVERSITY OF KENTUCKY,LEXINGTON,KY,Invited,,,,
"PARK DUVALLE COMMUNITY HEALTH CENTER, INC.",LOUISVILLE,KY,Invited,"3015 Wilson Ave, Louisville, KY",502-774-4401,-85.80688735,38.22699172
"SHAWNEE CHRISTIAN HEALTHCARE CENTER, INC.",LOUISVILLE,KY,Invited,"234 Amy Ave, Louisville, KY",502-778-0001,-85.81328634,38.26032332
"BIG SANDY HEALTH CARE, INC.",PRESTONSBURG,KY,Invited,,,,
"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PRESTONSBURG,KY,Invited,,,,
MOUNTAIN COMPREHENSIVE HEALTH CORPORATION,WHITESBURG,KY,Participating,,,,
"RAPIDES PRIMARY HEALTH CARE CENTER, INCORPORATED",ALEXANDRIA,LA,Invited,,,,
"JEFFERSON COMMUNITY HEALTH CARE CENTERS, INC",AVONDALE,LA,Invited,,,,
"MOREHOUSE COMMUNITY MEDICAL CENTERS, INC.",BASTROP,LA,Invited,,,,
"BATON ROUGE PRIMARY CARE COLLABORATIVE, INC.",BATON ROUGE,LA,Invited,,,,
CAPITOL CITY FAMILY HEALTH CENTER INC,BATON ROUGE,LA,Invited,,,,
H I V/ A I D S ALLIANCE FOR REGION TWO INC,BATON ROUGE,LA,Invited,,,,
RKM PRIMARY CARE,CLINTON,LA,Invited,"11990 Jackson St, Clinton, LA",225-683-5292 x10212,-91.02191195,30.86429448
"RICHLAND, PARISH OF",DELHI,LA,Invited,,,,
SOUTHEAST COMMUNITY HEALTH SYSTEMS,GREENSBURG,LA,Invited,,,,
"INNIS COMMUNITY HEALTH CENTER, INC.",INNIS,LA,Invited,,,,
SWLA CENTER FOR HEALTH SERVICES,LAKE CHARLES,LA,Invited,,,,
ACCESS HEALTH LOUISIANA,LULING,LA,Invited,,,,
C A S S E DENTAL HEALTH INSTITUTE,MANSFIELD,LA,Invited,,,,
PRIORITY HEALTH CARE,MARRERO,LA,Invited,,,,
PRIMARY HEALTH SERVICES CENTER,MONROE,LA,Invited,,,,
"IBERIA COMPRHESIVE COM HEALTH CNTR, INC.",NEW IBERIA,LA,Invited,,,,
"BAPTIST COMMUNITY HEALTH SERVICES, INC.",NEW ORLEANS,LA,Invited,,,,
COMMON GROUND HEALTH CLINIC,NEW ORLEANS,LA,Invited,"1400 Teche St, New Orleans, LA",504-361-9800,-90.05175997,29.94110899
"EXCELTH, INCORPORATED",NEW ORLEANS,LA,Invited,,,,
MARILLAC COMMUNITY HEALTH CENTERS,NEW ORLEANS,LA,Participating,,,,
MQVN COMMUNITY DEVELOPMENT CORP,NEW ORLEANS,LA,Invited,,,,
"NEW ORLEANS, CITY OF",NEW ORLEANS,LA,Invited,,,,
"ST. THOMAS COMMUNITY HEALTH CENTER, INC.",NEW ORLEANS,LA,Participating,,,,
SOUTHWEST LOUISIANA PRIMARY HEALTH CARE CENTER INC,OPELOUSAS,LA,Invited,,,,
PLAQUEMINES PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE,PORT SULPHUR,LA,Invited,,,,
ST GABRIEL HEALTH CLINIC INC,SAINT GABRIEL,LA,Invited,,,,
"DAVID RAINES COMMUNITY HEALTH CENTER, INC.",SHREVEPORT,LA,Invited,,,,
WINN COMMUNITY HEALTH CENTER,WINNFIELD,LA,Invited,,,,
PENOBSCOT COMMUNITY HEALTH CENTER,BANGOR,ME,Participating,,,,
FISH RIVER RURAL HEALTH,EAGLE LAKE,ME,Invited,,,,
"HEALTH ACCESS NETWORK, INC.",LINCOLN,ME,Invited,,,,
SEBASTICOOK FAMILY DOCTORS,NEWPORT,ME,Invited,"118 Moosehead Trl Ste 5, Newport, ME",207-368-5189,-69.28074182,44.84163289
KATAHDIN VALLEY HEALTH CENTER,PATTEN,ME,Invited,"529 S Patten Rd, Patten, ME",207-538-3700,-68.45195113,45.95848829
HEALTHREACH COMMUNITY HEALTH CENTERS,WATERVILLE,ME,Participating,,,,
MINISTRY OF HEALTH IN THE REPUBLIC OF THE MARSHALL ISLANDS,EBEYE,MH,Invited,,,,
"BALTIMORE MEDICAL SYSTEM, INC.",BALTIMORE,MD,Invited,,,,
"CHASE BREXTON HEALTH SERVICES, INC",BALTIMORE,MD,Invited,,,,
"HEALTH CARE FOR THE HOMELESS, INC.",BALTIMORE,MD,Participating,,,,
PARK WEST HEALTH SYSTEMS INCORPORATED,BALTIMORE,MD,Invited,,,,
"TOTAL HEALTH CARE, INC.",BALTIMORE,MD,Invited,,,,
"MOBILE MEDICAL CARE, INC.",BETHESDA,MD,Invited,,,,
GREATER BADEN MEDICAL SERVICE INC,BRANDYWINE,MD,Invited,,,,
"FAMILY HEALTH CENTERS OF BALTIMORE, INC.",BROOKLYN,MD,Invited,"631 Cherry Hill Rd, Brooklyn, MD",410-354-2000,-76.62262699,39.24951501
"CHOPTANK COMMUNITY HEALTH SYSTEM, INC.",DENTON,MD,Invited,,,,
"FREDERICK, CITY OF",FREDERICK,MD,Invited,,,,
"WALNUT STREET COMMUNITY HEALTH CENTER, INC.",HAGERSTOWN,MD,Invited,,,,
"COMMUNITY CLINIC, INC., THE",SILVER SPRING,MD,Participating,,,,
"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM, INC., THE",BOSTON,MA,Participating,,,,
EAST BOSTON NEIGHBORHOOD HEALTH CENTER CORPORATION,BOSTON,MA,Participating,,,,
"FENWAY COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating,,,,
"MATTAPAN COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Invited,,,,
"SOUTH BOSTON COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating,,,,
"SOUTH COVE COMMUNITY HEALTH CENTER, INC.",BOSTON,MA,Participating,,,,
"CHARLES RIVER COMMUNITY HEALTH, INC.",BRIGHTON,MA,Participating,,,,
"BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.",BROCKTON,MA,Participating,,,,
"DOTHOUSE HEALTH, INC.",DORCHESTER,MA,Invited,,,,
HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,DORCHESTER,MA,Invited,"895 Blue Hill Ave, Dorchester, MA",617-825-3400,-71.08833234,42.29403447
"UPHAMS CORNER HEALTH COMMITTEE, INC.",DORCHESTER,MA,Invited,,,,
"CODMAN SQUARE HEALTH CENTER, INC",DORCHESTR CTR,MA,Participating,,,,
"COMMUNITY HEALTH PROGRAMS, INCORPORATED",GT BARRINGTON,MA,Invited,,,,
"HOLYOKE HEALTH CENTER, INC.",HOLYOKE,MA,Participating,"230 Maple St, Holyoke, MA",413-420-2111,-72.60852501,42.2073438
"DUFFY HEALTH CENTER, INC.",HYANNIS,MA,Invited,,,,
