Name,description,layer,x,y
Genesee School District,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.610994,43.117338
Goodrich Area Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.532241,42.917209
Grand Blanc Public Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.616238,42.938427
Gull Lake Community Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.433745,42.375743
Hamilton Community Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-86.015974,42.682485
Hopkins Public School District,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.760821,42.617788
Kalamazoo RESA,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.646802,42.303563
Kearsley Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.616775,43.055874
Lake Fenton Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.733487,42.859297
LakeVille Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.444182,43.160257
Lincoln Consolidated Schools,Masks required for all in K-12 when county is at Substantial (orange) or High (red) level on CDC map. Required for all in K-6 when county is at Substantial (yellow).,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.602001,42.158054
Linden Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.829317,42.794620
Martin Public School District,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.637238,42.536124
Milan Area Schools,"Masks required of all when Washtenaw County is red or orange on the CDC map; required of K-6 students and adults when county is yellow on map",Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.702870,42.078693
Montrose Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.886721,43.180794
Mount Morris Consolidated School District,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.688602,43.126980
Mount Pleasant Public Schools,Masks required up to age 12,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-84.769791,43.610190
Northville Public Schools,"Required for staff who do not voluntarily submit proof of vaccination;  strongly recommended for students and vaccinated staff",Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.475923,42.426426
Otsego Public Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.712072,42.455229
Parchment School District,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.561118,42.330657
Plainwell Community Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.591604,42.448201
Portage Public Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.623550,42.220296
Saline Area Schools,"Requires masks for 6th grade and below when CDC risk level is Low or moderate, and masks for all indoors when risk level is Substantial or High",Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.749547,42.188139
Saugatuck Public Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-86.204876,42.641589
Schoolcraft Community Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.664051,42.133801
Swartz Creek Community Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.833650,42.952746
Vicksburg Community Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.461181,42.126930
Wayland Union Schools,Required for all in K-6 by public health order https://www.kalcounty.com/userfiles/hcs/mediareleases/08.18.21%20Allegan%20and%20Kalamazoo%20Counties%20Issue%20Orders%20for%20Educational%20Settings.pdf,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-85.626354,42.684005
Westwood Heights Schools,Subject to Genessee County Public Health order requiring masks for K-6 students and all interacting with them: https://www.gchd.us/wp-content/uploads/2021/08/GCHD-Masking-Final-Medical-Health-Officer-PBH-August-12.-2021-004.pdf?fbclid=IwAR3goDvofU2peWV7Lr7t2vFuud50eaSq27Cpv3gXG24oXidjzyVVNJxsuTw,Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.753453,43.072461
Whitmore Lake Public Schools,"At Substantial risk (orange) on CDC map: Masks required for all adults and children in pre-K through 6. At High (red) level, masks required for all. At Moderate (Yellow) or Low (Blue), masks optional",Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-83.783951,42.421363
Williamston Community School District,"Masks required for unvaccinated staff, recommended for all students and vaccinated staff",Schools in Michigan - mask policies fall 2021 Partial requirement K-12 (see notes on each pin),-84.292503,42.703580
Ferris State University,Masks required for unvaccinated individuals,Schools in Michigan - mask policies fall 2021 Partial requirement - higher education (see notes on pin),-85.485395,43.684218
Schoolcraft College,Masks required for unvaccinated students & employees,Schools in Michigan - mask policies fall 2021 Partial requirement - higher education (see notes on pin),-83.429493,42.420480
Siena Heights University,Required for unvaccinated people,Schools in Michigan - mask policies fall 2021 Partial requirement - higher education (see notes on pin),-84.016430,41.904573
