name,lon,lat,type,address,phone,description,volume
Healthcare Network | Dental Care,-81.4320831,26.4428234,1,"1454 Madison Ave W, Immokalee, FL 34142, USA",(239) 658-3000,,
"Agape Community Health Center, Inc.",-81.6973579,30.3290917,0,"120 King St, Jacksonville, FL 32204, USA",(904) 760-4904,,
Sulzbacher Center,-81.6497038,30.3268021,0,"611 E Adams St, Jacksonville, FL 32202, USA",(904) 359-0457,,
Banyan Health Systems,-80.2582562,25.771548,0,"3850 W Flagler St, Miami, FL 33134, USA",(305) 774-3300,,
Borinquen Health Care Center,-80.3667177,25.7607384,1,"10528 SW 8th St, Miami, FL 33174, USA",(305) 552-1201,,
Camillus Health Concern,-80.2004801,25.7785411,0,"336 NW 5th St, Miami, FL 33128, USA",(305) 577-4840,,
Care Resource Community Health Centers,-80.1888706,25.8126663,0,"3801 Biscayne Blvd 2nd floor, Miami, FL 33137, USA",(305) 576-1234,,
Empower U Inc,-80.2438165,25.8482694,0,"7900 NW 27th Ave Suite E12, Miami, FL 33147, USA",(786) 318-2337,,
"Jessie Trice Community Health Center, Inc",-80.2322423,25.8239742,1,"5361 NW 22nd Ave, Miami, FL 33142, USA",(305) 637-6400,,
Miami Beach Community Health Center,-80.1320884,25.8546303,1,"1221 71st St, Miami Beach, FL 33141, USA",(305) 538-8835,,
"Center for Family and Child Enrichment, Inc. (CFCE)",-80.2310256,25.9275741,0,"1825 NW 167th St, Miami Gardens, FL 33056, USA",(305) 624-7450,,
Heart of Florida Health Center Central,-82.1373973,29.1787634,0,"1025 SW 1st Ave, Ocala, FL 34471, USA",(352) 732-6599,,
Health Care Center for the Homeless,-81.3978235,28.5453723,0,"232 Orange Blossom Trail, Orlando, FL 32805, USA",(407) 428-5751,,
Rural Health Care Inc,-81.6551541,29.6414198,0,"2503 President St, Palatka, FL 32177, USA",,,
MCR Health,-82.5726252,27.5178734,1,"700 8th Ave W #101, Palmetto, FL 34221, USA",(941) 776-4000,,
PanCare Health,-85.6553364,30.1680964,0,"403 E 11th St, Panama City, FL 32401, USA",(850) 767-3350,,
Pierson Medical Services,-81.4593398,29.2446036,0,"216 N Frederick St, Pierson, FL 32180, USA",(386) 749-2883,,
Ruskin Health Center - Suncoast Community Health Centers,-82.3948005,27.7065186,1,"2814 14th Ave SE, Ruskin, FL 33570, USA",(813) 653-6100,,
"Community Health Centers of Pinellas, Inc.",-82.662824,27.7569067,1,"1344 22nd St S, St. Petersburg, FL 33712, USA",(727) 824-8181,,
Central Florida Family Health: Oostwouder Peter MD,-81.2136626,28.7923528,0,"2400 State Rte 415, Sanford, FL 32771, USA",(407) 322-8645,,
Langley Health Services,-82.0675312,28.7362065,0,"1389 US-301, Sumterville, FL 33585, USA",(352) 793-5900,,
Bond Community Health Center Inc.,-84.278648,30.4253402,1,"1720 S Gadsden St, Tallahassee, FL 32301, USA",(850) 576-4073,,
Neighborhood Medical Center,-84.2968116,30.4130947,0,"872 W Orange Ave, Tallahassee, FL 32310, USA",(850) 300-7262,,
North Florida Medical Center,-84.2440242,30.4921504,0,"2804 Remington Green Cir, Tallahassee, FL 32308, USA",(850) 385-4494,,
Tampa Family Health Centers,-82.5058309,28.0187985,1,"7814 N Dale Mabry Hwy, Tampa, FL 33614, USA",(813) 405-3939,,
Palms Medical Group,-82.8188522,29.6074539,0,"911 S Main St, Trenton, FL 32693, USA",(352) 463-2374,,
"FoundCare, Inc.",-80.087844,26.6417899,0,"2330 S Congress Ave, West Palm Beach, FL 33406, USA",(561) 432-5849,,
Florida Community Health Center,-80.0918595,26.7630792,1,"5827 Corporate Way, West Palm Beach, FL 33407, USA",(561) 844-9443,,
Health Care District of Palm Beach County Main Office,-80.051135,26.726456,0,"1515 N Flagler Dr #101, West Palm Beach, FL 33401, USA",(561) 659-1270,,
Central Florida Health Care - Winter Haven,-81.7264073,28.0375838,0,"1514 1st St N, Winter Haven, FL 33881, USA",(866) 234-8534,,
Albany Area Primary Health Care,-84.218789,31.5916747,0,"204 N Westover Blvd, Albany, GA 31707, USA",(229) 888-6559,,
Athens Neighborhood Health Center - East,-83.3552597,33.9588916,0,"402 McKinley Dr, Athens, GA 30601, USA",(706) 543-1145,,
Center for Pan Asian Community Services,-84.2866626,33.89148,0,"3510 Shallowford Rd, Atlanta, GA 30341, USA",(770) 936-0969,,
Georgia Department of Community Health,-84.4281838,33.7737531,0,"1249 Donald Lee Hollowell Pkwy NW, Atlanta, GA 30318, USA",(404) 656-4507,,
"The Family Health Centers of Georgia, Inc.",-84.416374,33.736796,0,"868 York Ave SW, Atlanta, GA 30310, USA",(404) 752-1400,,
HEALing Community Center at Neighborhood Union,-84.410418,33.759625,0,"186 Sunset Ave NW, Atlanta, GA 30314, USA",(404) 477-1184,,
"Whitefoord, Inc.",-84.343337,33.7523182,0,"1353 George W Brumley Way SE, Atlanta, GA 30317, USA",(404) 523-2500,,
Palmetto Health Dental Center,-84.3489467,33.7845409,0,"10 Richland Medical Park Cola, Atlanta, GA 30306, USA",(404) 434-6567,,
Mercy Care,-84.3744307,33.7509488,1,"424 Decatur St SE, Atlanta, GA 30312, USA",(678) 843-8600,,
Southside Medical Center,-84.3918858,33.7270457,0,"1046 Ridge Ave SW, Atlanta, GA 30315, USA",(404) 688-1350,,
Neighborhood Improvement project inc,-82.0511219,33.429071,0,"2467 Golden Camp Rd, Augusta, GA 30906, USA",(706) 790-4440,,
"Primary Care of Southwest GA, Inc.",-84.9384075,31.3790776,0,"360 College St, Blakely, GA 39823, USA",(229) 723-2660,,
"Coastal Community Health Services, Inc",-81.4876793,31.2195073,0,"106 Shoppers Way, Brunswick, GA 31525, USA",(912) 275-8028,,
Valley Healthcare System,-84.9373089,32.4240963,0,"1600 Fort Benning Rd, Columbus, GA 31903, USA",(706) 322-9599,,
Primary Healthcare Centers,-85.4992133,34.8874974,0,"13570 N Main St, Trenton, GA 30752, USA",(706) 956-2665,,
Diversity Health Center,-81.7486945,31.7149786,0,"Ludowici, GA 31316, USA",(912) 545-9398,,
First Choice Primary Care,-83.6296189,32.8404343,0,"770 Walnut St, Macon, GA 31201, USA",(478) 787-4266,,
Good Samaritan Health Center Of Cobb,-84.556376,33.913915,0,"1605 Roberta Dr, Marietta, GA 30008, USA",(770) 419-3120,,
Four Corners Primary Care Centr,-84.1814629,33.9187471,0,"5300 Oakbrook Pkwy #130, Norcross, GA 30093, USA",(770) 806-2928,,
"CareConnect Family Practice and Pediatrics, Richland",-84.6606629,32.0861377,0,"510 Alston St, Richland, GA 31825, USA",(229) 887-3324,,
Curtis V. Cooper Primary Health Care Inc,-81.08459,32.076217,0,"106 E Broad St, Savannah, GA 31401, USA",(912) 527-1000,,
J.C. Lewis Primary Health Care Center,-81.1190658,32.000769,0,"5 Mall, Annex, Savannah, GA 31406, USA",(912) 495-8887,,
MedCura Health formerly Oakhurst Medical Center,-84.212672,33.7994911,0,"5582 Memorial Dr, Stone Mountain, GA 30083, USA",(404) 298-8998,,
"Community Healthcare Systems, Inc.",-82.7300557,32.7293952,0,"2251 W Elm St, Wrightsville, GA 31096, USA",(478) 864-2600,,
Department of Administration,144.7508061,13.473614,0,"212, Hagåtña, 96910, Guam",(671) 475-1101,,
"Bay Clinic, Inc. - Hilo Family Health Center",-155.0797594,19.7103035,0,"1178 Kinoole St BLDG B, Hilo, HI 96720, USA",(808) 333-3600,,
Hamakua Health Center,-155.4700508,20.0758589,0,"45-549 Plumeria St, Honokaa, HI 96727, USA",(808) 775-7204,,
Kalihi-Palama Health Center,-157.8682726,21.3228144,0,"915 N King St, Honolulu, HI 96817, USA",(808) 848-1438,,
Kokua Kalihi Valley,-157.8745813,21.3406929,0,"2239 N School St, Honolulu, HI 96819, USA",(808) 791-9400,,
Waikiki Health Center,-157.8205107,21.275595,0,"277 ʻŌhua Ave, Honolulu, HI 96815, USA",(808) 922-4787,,
Ko`olauloa Health Center,-157.9535699,21.6760208,0,"56-119 Pualalea St, Kahuku, HI 96731, USA",(808) 293-9231,,
Molokai Community Health Center,-157.0192094,21.0860191,0,"30 Oki Pl, Kaunakakai, HI 96748, USA",(808) 553-5038,,
Lāna'i Community Health Center,-156.9211427,20.8265134,0,"333 6th St, Lanai City, HI 96763, USA",(808) 565-6919,,
Ho'ola Lahui Hawaii,-159.3706572,21.975234,0,"4491 Rice St, Lihue, HI 96766, USA",,,
Waianae Coast Comprehensive Health Center,-158.1798276,21.4299537,0,"86-260 Farrington Hwy, Waianae, HI 96792, USA",(808) 697-3300,,
Community Clinic of Maui,-156.4994157,20.8886664,0,"1881 Nani St, Wailuku, HI 96793, USA",(808) 871-7772,,
Family Medicine Residency of Idaho - Raymond Clinic,-116.264795,43.6114669,0,"777 N Raymond St, Boise, ID 83704, USA",(208) 514-2500,,
Heritage Health,-116.8010062,47.6947904,0,"1090 W Park Pl, Coeur d'Alene, ID 83814, USA",(208) 620-5250,,
Shoshone-Bannock Tribes,-112.4336581,43.0269859,0,"306 Pima Dr, Fort Hall, ID 83203, USA",(208) 478-3700,,
Glenns Ferry Health Center,-115.3055128,42.9540991,0,"486 W 1st Ave, Glenns Ferry, ID 83623, USA",(208) 366-7416,,
Terry Reilly Health Services - 16th St. Clinic,-116.5521226,43.5792411,1,"223 16th Ave N, Nampa, ID 83687, USA",(208) 467-7654,,
Valley Family Health Care,-116.9249811,44.0580758,0,"1441 NE 10th Ave, Payette, ID 83661, USA",(208) 642-9376,,
Rural Health Inc,-89.2468527,37.4634999,0,"513 N Main St, Anna, IL 62906, USA",(618) 833-4471,,
VNA Health Care,-88.3297293,41.7659245,1,"400 N Highland Ave, Aurora, IL 60506, USA",(630) 892-4355,,
ACCESS Rogers Park Family Health Center,-87.6702578,42.0191925,0,"1555 W Howard St, Chicago, IL 60626, USA",(773) 764-7146,,
Carlinville,-89.8817662,39.2797699,0,"Carlinville, IL 62626, USA",,,
Shawnee Health Service Administration Offices,-89.0765161,37.7514721,0,"109 California St, Carterville, IL 62918, USA",(618) 985-8221,,
Access Community Health Network - Corporate Office,-87.643223,41.8869426,1,"600 W Fulton St, Chicago, IL 60661, USA",(312) 526-2200,,
"ALIVIO MEDICAL CENTER, INC.",-87.6645576,41.8529688,0,"1450 W Cermak Rd, Chicago, IL 60608, USA",(773) 254-1400,,
AHS Family Health Center,-87.6905267,41.9907505,0,"2424 W Peterson Ave, Chicago, IL 60659, USA",(800) 597-5077,,
Erie Humboldt Park Health Center,-87.69667,41.9104556,1,"2750 W North Ave, Chicago, IL 60647, USA",(312) 666-3494,,
Esperanza Health Centers California,-87.6953253,41.8546526,1,"2001 S California Ave #100, Chicago, IL 60608, USA",(773) 584-6200,,
Friend Family Health Center Inc,-87.7227607,41.7901668,0,"5635 S Pulaski Rd, Chicago, IL 60629, USA",(773) 585-3900,,
Heartland Alliance Health Englewood Health Center,-87.644904,41.7936606,1,"5501 S Halsted St, Chicago, IL 60621, USA",(773) 275-2586,,
Heartland Health Center - Touhy,-87.6864137,42.0124201,0,"2200 W Touhy Ave, Chicago, IL 60645, USA",(773) 751-1875,,
Howard Brown Health Clark,-87.6714074,42.0000343,0,"6500 N Clark St, Chicago, IL 60626, USA",(773) 388-1600,,
Food Distribution Center - Iman: Inner-city Muslim Action Netwrok,-87.6927863,41.7792569,0,"2744 W 63rd St, Chicago, IL 60629, USA",(773) 434-4626,,
Lawndale Christian Health Center,-87.7218767,41.8525899,0,"3860 Ogden Ave, Chicago, IL 60623, USA",(872) 588-3000,,
North Health Service Corporation,-87.6422731,41.9052536,0,"1276 N Clybourn Ave, Chicago, IL 60610, USA",(312) 337-1073,,
Primecare Community Health Inc: Friedman Michael H MD,-87.6863618,41.9075732,0,"1431 N Western Ave, Chicago, IL 60622, USA",(312) 633-5841,,
"TCA Health, Inc.",-87.596743,41.658754,0,"1029 E 130th St, Chicago, IL 60628, USA",(773) 995-6300,,
University of Illinois at Chicago,-87.6496218,41.8696074,0,"1200 W Harrison St, Chicago, IL 60607, USA",(312) 996-7000,,
Community Health Improvemnt Center,-88.9570479,39.8749248,0,"320 East Central Avenue, Decatur, IL 62521, USA",(217) 877-9117,,
SIHF Healthcare - East St. Louis - State Street,-90.1325762,38.6187985,1,"2001 State St, East St Louis, IL 62205, USA",(618) 271-9191,,
Greater Elgin Family Care Center - Summit Health Center,-88.2778173,42.0460785,1,"373 Summit St Ste 100, Elgin, IL 60120, USA",(847) 608-1344,,
Aunt Martha's,-87.7004965,41.5267094,0,"19990 Governors Hwy, Olympia Fields, IL 60461, USA",(708) 747-7100,,
Crusader Community Health,-89.1083121,42.2751501,0,"1200 W State St, Rockford, IL 61102, USA",(815) 490-1600,,
SIU School of Medicine,-89.6575947,39.8100982,0,"801 N Rutledge St, Springfield, IL 62702, USA",(217) 545-8000,,
Lake County,-87.8271534,42.3689363,0,"Lake County, IL, USA",,,
Valley Professionals Community Health Center,-87.3990775,39.653504,0,"777 S Main St #100, Clinton, IN 47842, USA",(765) 828-1003,,
Heart City Health,-85.9458344,41.6897607,0,"236 Simpson Ave, Elkhart, IN 46516, USA",(574) 293-0052,,
Community HealthNet Health Centers,-87.3504715,41.6017048,0,"1021 W 5th Ave, Gary, IN 46402, USA",(219) 880-1190,,
Maple City Health Care Center,-85.8323934,41.5932252,0,"213 Middlebury St, Goshen, IN 46528, USA",(574) 534-3300,,
"Indiana Health Centers, Inc.",-86.0545639,39.9026018,0,"8003 Castleway Dr, Indianapolis, IN 46250, USA",(317) 576-1335,,
Raphael Health Center,-86.1506215,39.8174546,0,"401 E 34th St, Indianapolis, IN 46205, USA",(317) 926-1507,,
Shalom Health Care Center,-86.2296634,39.8175537,0,"3400 Lafayette Rd # 200, Indianapolis, IN 46222, USA",(317) 291-7422,,
"The Health Cares Exchange Initiative, Inc.",-87.6703938,42.0118035,1,"7100 N Ashland Ave, Chicago, IL 60626, USA",(773) 509-6402,,
Regional Mental Health Center,-87.3202372,41.4643844,0,"1441 E 84th Pl, Merrillville, IN 46410, USA",(219) 769-4005,,
Open Door Health Services,-85.3822754,40.1913772,0,"333 S Madison St, Muncie, IN 47305, USA",(765) 286-7000,,
Aspire Indiana Health,-85.9936277,40.0485828,0,"17840 Cumberland Rd, Noblesville, IN 46060, USA",(317) 773-6864,,
Healthlinc Inc: Ames Jay T MD,-87.0375194,41.47708,1,"1001 Sturdy Rd, Valparaiso, IN 46383, USA",(219) 462-7173,,
Porter-Starke Services,-87.053739,41.4894677,0,"601 Wall St, Valparaiso, IN 46383, USA",(219) 531-3500,,
Community Health Care,-90.5806669,41.5211039,1,"500 W River Dr, Davenport, IA 52801, USA",(563) 336-3041,,
"Proteus, Inc.",-93.6334926,41.5919332,0,"1221 Center St, Des Moines, IA 50309, USA",(515) 271-5306,,
Primary Health Care Inc,-93.633171,41.6002081,0,"1200 University Ave, Des Moines, IA 50314, USA",(515) 248-1447,,
Mexican American Ministries,-100.869039,37.9705,0,"310 E Walnut St # L05, Garden City, KS 67846, USA",(620) 260-9560,,
Vibrant Health Wyandotte: Central,-94.6392286,39.1038137,0,"21 N 12th St Ste 300, Kansas City, KS 66102, USA",(913) 342-2552,,
Community Health Center of Southeast Kansas,-94.6963317,37.4373002,1,"3011 N Michigan St, Pittsburg, KS 66762, USA",(620) 231-9873,,
GraceMed Evergreen Family Clinic,-97.3499536,37.7314467,1,"1125 W 26th St N, Wichita, KS 67204, USA",(316) 866-2000,,
HealthCore Clinic Inc,-97.3051435,37.7224141,0,"2707 E 21st St N, Wichita, KS 67214, USA",,,
Hunter Health Brookside Clinic,-97.290189,37.6448153,0,"2750 S Roosevelt St, Wichita, KS 67210, USA",(316) 262-2415,,
A+ Family Healthcare,-86.2649078,37.1915206,0,"210 S Main St, Brownsville, KY 42210, USA",(270) 975-4050,,
Cumberland Family Medical Center,-85.3689784,36.7852094,0,"360 Keen St, Burkesville, KY 42717, USA",(270) 864-2889,,
HealthFirst Bluegrass - Southland Drive Clinic,-84.5290222,38.0206451,0,"496 Southland Dr, Lexington, KY 40503, USA",(859) 288-2425,,
University of Kentucky,-84.5039697,38.0306511,0,"Lexington, KY 40506, USA",(859) 257-9000,,
Big Sandy Health Care Inc,-82.7714647,37.6940231,0,"1709 KY-321, Prestonsburg, KY 41653, USA",(606) 886-8546,,
Mountain Comprehensive Care Center,-82.7748674,37.6668282,0,"104 S Front St, Prestonsburg, KY 41653, USA",(606) 886-8572,,
Mountain Comprehensive Health Corporation: Wellness Center,-82.8239414,37.1174473,1,"77 E Main St, Whitesburg, KY 41858, USA",(606) 632-3882,,
Rapides Primary Health Care Center,-92.4263298,31.28596,0,"1217 Willow Glen River Rd, Alexandria, LA 71302, USA",(318) 487-4400,,
InclusivCare,-90.2246018,29.9119317,0,"3932 US-90, Avondale, LA 70094, USA",(504) 436-2223,,
"Morehouse Community Medical Centers, Inc.",-91.9185028,32.7737388,0,"518 Durham St, Bastrop, LA 71220, USA",(318) 283-8887,,
"Baton Rouge Primary Care Collaborative, Inc.",-91.1729864,30.5359433,0,"2013 Central Rd, Baton Rouge, LA 70807, USA",(225) 774-1120,,
Capitol City Family Health Center,-91.1491139,30.4617557,0,"4000 Gus Young Ave, Baton Rouge, LA 70802, USA",(225) 388-5861,,
HAART Clinic,-91.1503633,30.4487165,0,"3849 North Blvd, Baton Rouge, LA 70806, USA",(225) 655-6422,,
Delhi,-91.4931736,32.4576421,0,"Delhi, LA, USA",,,
St Helena Communuty Health Center,-90.6660021,30.8302899,0,"490 Sitman, Greensburg, LA 70441, USA",(225) 306-2070,,
Innis Community Health Center,-91.6799962,30.8766211,0,"6450 LA-1, Batchelor, LA 70715, USA",(225) 492-3775,,
SWLA Center for Health Services,-93.1917999,30.2418583,0,"2000 Opelousas St, Lake Charles, LA 70601, USA",(337) 439-9983,,
St. Charles Community Health Center,-90.3695724,29.9231539,0,"843 Milling Ave, Luling, LA 70070, USA",(985) 785-5800,,
Casse Community Health Institute,-93.7060222,32.0376813,0,"907 Polk St, Mansfield, LA 71052, USA",(318) 688-3350,,
Priority Health Care,-90.0972125,29.8889766,0,"4700 Wichers Dr #304, Marrero, LA 70072, USA",(504) 309-3262,,
Primary Health Services Center,-92.0876198,32.5198842,0,"2913 Desiard St, Monroe, LA 71201, USA",(318) 388-1250,,
"Iberia Comprehensive Community Health Center, Inc.",-91.810504,29.9883829,0,"806 Jefferson Terrace, New Iberia, LA 70560, USA",(337) 365-4945,,
Baptist Community Health Services- Lower 9th Ward- Family Practice,-90.0146467,29.9669161,0,"1616 Caffin Ave, New Orleans, LA 70117, USA",(504) 533-4999,,
"EXCELth, Incorporated",-90.0785,29.952563,0,"1515 Poydras St # 1070, New Orleans, LA 70112, USA",(504) 524-1210,,
DePaul Community Health Center - Carrollton,-90.1138815,29.9617633,1,"3201 S Carrollton Ave, New Orleans, LA 70118, USA",(504) 207-3060,,
MQVN Community,-89.912218,30.0370175,0,"4626 Alcee Fortier Blvd # E, New Orleans, LA 70129, USA",(504) 255-9170,,
New Orleans,-90.0715323,29.9510658,0,"New Orleans, LA, USA",,,
St. Thomas Community Health Center- Donald T. Erwin Center,-90.0744084,29.9309647,1,"1936 Magazine St, New Orleans, LA 70130, USA",(504) 529-5558,,
Southwest Louisiana Primary Health Care Center,-92.0729902,30.5660639,0,"8762 LA-182, Opelousas, LA 70570, USA",(337) 942-2005,,
Plaquemines Medical Center,-89.7123508,29.4947274,0,"27136 LA-23, Port Sulphur, LA 70083, USA",(504) 564-3344,,
Saint Gabriel Health Clinic,-91.1271696,30.3541636,0,"1707 Gardere Ln, Baton Rouge, LA 70820, USA",(225) 642-9676,,
David Raines Community Health Centers,-93.8281499,32.5355378,0,"1625 David Raines Rd, Shreveport, LA 71107, USA",(318) 425-2252,,
Winn Community Health Center,-92.6446081,31.9247003,0,"431 W Lafayette St, Winnfield, LA 71483, USA",(318) 648-0375,,
PENOBSCOT Community Health Center,-68.8088913,44.8158431,1,"1012 Union St, Bangor, ME 04401, USA",(207) 404-8100,,
Fish River Rural Health,-68.5947036,47.0364112,0,"10 Carter St, Eagle Lake, ME 04739, USA",(207) 444-5973,,
Health Access Network,-68.5222778,45.3605396,0,"175 W Broadway, Lincoln, ME 04457, USA",(207) 794-6700,,
HealthReach Community Health Centers,-69.6295021,44.5461926,1,"10 Water St, Waterville, ME 04901, USA",(207) 872-5610,,
Baltimore Medical System Inc,-76.5685821,39.3131386,0,"3501 Sinclair Ln, Baltimore, MD 21213, USA",(410) 732-8800,,
Chase Brexton Health Services,-76.6155438,39.3024911,0,"1111 N Charles St, Baltimore, MD 21201, USA",(410) 837-2050,,
Health Care for the Homeless,-76.6096183,39.2938249,1,"421 Fallsway, Baltimore, MD 21202, USA",(410) 837-5533,,
Park West Health System,-76.6768698,39.3481245,0,"3319 W Belvedere Ave, Baltimore, MD 21215, USA",(410) 542-7800,,
Total Health Care - Mondawmin Mall Health Center,-76.6539348,39.3173802,0,"2401 Liberty Heights Ave #111-113, Baltimore, MD 21215, USA",(410) 383-8300,,
Mobile Medical Care Inc,-77.1126738,39.0082446,0,"9309 Old Georgetown Rd, Bethesda, MD 20814, USA",(301) 493-2400,,
Greater Baden Medical Services,-76.87889,38.6707899,0,"7450 Albert Rd, Brandywine, MD 20613, USA",(301) 888-2233,,
Choptank Community Health System : Medical,-75.827782,38.874606,0,"808 S 5th Ave, Denton, MD 21629, USA",(410) 479-2650,,
Frederick,-77.4105409,39.4142688,0,"Frederick, MD, USA",,,
Family Healthcare of Hagerstown,-77.7110756,39.636134,0,"201 S Cleveland Ave, Hagerstown, MD 21740, USA",(301) 745-3777,,
Community Clinic Inc,-77.0278025,38.9935928,1,"8210 Dixon Ave # C, Silver Spring, MD 20910, USA",(301) 585-1250,,
Boston Health Care for the Homeless Program,-71.0725726,42.3337186,1,"780 Albany St, Boston, MA 02118, USA",(857) 654-1000,,
East Boston Neighborhood Health Center,-71.0395027,42.3696944,1,"20 Maverick Square, Boston, MA 02128, USA",(617) 569-5800,,
Fenway Health,-71.0989642,42.3440524,1,"1340 Boylston St, Boston, MA 02215, USA",(617) 267-0900,,
Mattapan Community Health Center,-71.094151,42.2698366,0,"1575 Blue Hill Avenue, Boston, MA 02126, USA",(617) 296-0061,,
South Boston Community Health Center,-71.0482208,42.336849,1,"409 W Broadway, Boston, MA 02127, USA",(617) 269-7500,,
South Cove Community Health Center,-71.064563,42.3480041,1,"885 Washington St, Boston, MA 02111, USA",(617) 482-7555,,
Charles River Community Health,-71.1439344,42.3623832,1,"Joseph M. Smith Building, 495 Western Ave, Brighton, MA 02135, USA",(617) 783-0500,,
Brockton Neighborhood Health Center,-71.0202336,42.0842589,1,"63 Main St, Brockton, MA 02301, USA",(508) 559-6699,,
DotHouse Health,-71.059316,42.304408,0,"1353 Dorchester Ave, Dorchester, MA 02122, USA",(617) 288-3230,,
Upham's Corner Health Center,-71.0686823,42.3119206,0,"415 Columbia Rd, Boston, MA 02125, USA",(617) 287-8000,,
Codman Square Health Center,-71.0720453,42.2896042,1,"637 Washington St, Boston, MA 02124, USA",(617) 825-9660,,
Community Health Programs Inc,-73.3426908,42.2193394,0,"444 Stockbridge Rd, Great Barrington, MA 01230, USA",(413) 528-8580,,
Duffy Health Center,-70.2742579,41.6562888,0,"94 Main St, Hyannis, MA 02601, USA",(508) 771-9599,,
Greater Lawrence Family Health Center,-71.1519479,42.7118228,1,"34 Haverhill St, Lawrence, MA 01840, USA",(978) 686-0090,,
Lowell Community Health Center,-71.311467,42.642182,0,"161 Jackson St, Lowell, MA 01854, USA",(978) 937-9700,,
Lynn Community Health Center,-70.9436238,42.4650429,1,"269 Union St, Lynn, MA 01901, USA",(781) 581-3900,,
Community Health Center of Cape Cod,-70.490942,41.6074636,0,"107 Commercial St, Mashpee, MA 02649, USA",(508) 477-7090,,
Harbor Health Services Inc,-71.0748674,42.2757583,0,"1135 Morton St, Mattapan, MA 02126, USA",(617) 533-2300,,
"The Greater New Bedford Community Health Center, Inc",-70.9259855,41.6361816,0,"874 Purchase St, New Bedford, MA 02740, USA",(508) 992-6553,,
Dimock Health Center,-71.0971809,42.3202306,0,"45 Dimock St, Boston, MA 02119, USA",(617) 442-8800,,
Caring Health Center,-72.5848401,42.0996944,0,"1049 Main St, Springfield, MA 01103, USA",(413) 739-1100,,
Outer Cape Health Services - Wellfleet Health Center,-70.030876,41.946095,0,"3130 US-6, Wellfleet, MA 02667, USA",(508) 349-3131,,
Edward M. Kennedy Community Health Center,-71.7642001,42.2981818,1,"650 Lincoln St, Worcester, MA 01605, USA",(508) 854-2122,,
Packard Health Main,-83.6965573,42.2445334,0,"3174 Packard St, Ann Arbor, MI 48108, USA",(734) 971-1073,,
InterCare Community Health Network,-86.1133345,42.3128718,1,"308 Charles St, Bangor, MI 49013, USA",(855) 869-6900,,
Bay Mills,-84.5839401,46.4372433,0,"Bay Mills, MI 49715, USA",,,
Family Medical Center,-83.3793107,42.0563183,1,"130 Medical Center Dr, Carleton, MI 48117, USA",(734) 654-2169,,
Cassopolis Family Clinic Network,-86.0153024,41.91964,0,"261 M-62, Cassopolis, MI 49031, USA",(269) 445-3874,,
CHASS Center,-83.096796,42.3090658,1,"5635 W Fort St, Detroit, MI 48209, USA",(313) 849-3920,,
Detroit Central City Community Mental Health,-83.0569411,42.3453494,0,"10 Peterboro St, Detroit, MI 48201, USA",(313) 831-3160,,
Detroit Community Health Connection,-82.9481766,42.3715577,0,"13901 E Jefferson Ave, Detroit, MI 48215, USA",(313) 822-0900,,
Advantage Health Centers,-83.1985201,42.416246,0,"15400 W McNichols Rd, Detroit, MI 48235, USA",(313) 416-6262,,
The Wellness Plan Medical Centers - Gateway Medical Center,-83.080961,42.3668128,0,"2888 W Grand Blvd, Detroit, MI 48202, USA",(313) 875-4200,,
Genesee Health System,-83.7006864,43.0213741,0,"420 W 5th Ave, Flint, MI 48503, USA",(810) 257-3705,,
Hamilton Community Health Network Main Clinic,-83.6923842,43.0420316,0,"2900 Saginaw St, Flint, MI 48505, USA",(810) 406-4246,,
Cherry Street Health Services: Peterson Joanne H MD,-85.6546215,42.9591174,1,"550 Cherry St SE, Grand Rapids, MI 49503, USA",(616) 235-7272,,
Upper Great Lakes Gwinn Family Health Center,-87.4221267,46.2755661,0,"135 M-35, Gwinn, MI 49841, USA",(906) 346-9275,,
"Thunder Bay Community Health Service, Inc.",-83.9017181,45.070034,1,"15774 State St, Hillman, MI 49746, USA",(989) 742-4583,,
Western Wayne Family Health Centers,-83.3116373,42.291375,0,"2700 Hamlin Blvd, Inkster, MI 48141, USA",(313) 561-5100,,
Family Health Center - Paterson,-85.5846143,42.3029365,0,"117 W Paterson St, Kalamazoo, MI 49007, USA",(269) 349-2641,,
Lansing,-84.5555347,42.732535,0,"Lansing, MI, USA",,,
Alcona Health Center,-83.4037247,44.661088,1,"177 N Barlow Rd, Lincoln, MI 48742, USA",(989) 736-8157,,
Hackley Community Care,-86.2411144,43.2214973,1,"1675 Leahy St #103, Muskegon, MI 49442, USA",(231) 733-6800,,
OIHN - Baldwin Health Center,-83.3022911,42.682693,0,"1701 Baldwin Ave, Pontiac, MI 48340, USA",(248) 724-7600,,
Great Lakes Bay Health Centers,-83.9817304,43.4377015,0,"3023 Davenport Ave, Saginaw, MI 48602, USA",(989) 907-2761,,
People's Center Clinics and Services,-93.2439015,44.9690685,0,"425 20th Ave S, Minneapolis, MN 55454, USA",(612) 332-4973,,
Hennepin County Public Health,-93.262956,44.9744585,0,"525 Portland Ave, Minneapolis, MN 55415, USA",(612) 348-3925,,
Indian Health Board Medical & Dental Center,-93.2553313,44.9589534,0,"1315 E 24th St, Minneapolis, MN 55404, USA",(612) 721-9800,,
Central Clinic - Neighborhood HealthSource,-93.2470708,45.0110272,0,"2301 Central Ave NE, Minneapolis, MN 55418, USA",(612) 588-9411,,
