name,st_abbr,city,address,phone,testing_status,lon,lat
Canyonlands Healthcare - Beaver Dam,AZ,Littlefield,3272 E Rio Virgin Rd,928-347-5971,Yes,-113.920532,36.90101789
FourPoints Health - Richfield Clinic,UT,Richfield,440 S Main St,435-893-0977,Yes,-112.0847953,38.76204024
FourPoints Health - Koosharem Clinic,UT,Richfield,826 N Paiute Way,435-893-0977,Yes,-112.082725,38.77971943
WENDOVER COMMUNITY HEALTH CENTER,NV,West Wendover,925 Wells Ave,775-664-2220,Yes,-114.0751293,40.73963707
AUSTIN MEDICAL CLINIC,NV,Austin,121 Main St,775-964-2222,Yes,-117.0702577,39.49193142
Creek Valley Health Clinic,AZ,Colorado City,20 N Colvin St # 0418,928-530-8001,Yes,-112.9716427,36.99084711
ELKO FAMILY MEDICAL & DENTAL CTR,NV,Elko,762 14th St,800-787-2568,Yes,-115.7585829,40.84167424
Carlin Community Health Center,NV,Carlin,310 Memory Ln,800-787-2568,Yes,-116.116794,40.71750732
"WAYNE COMMUNITY HEALTH CENTER, INC.",UT,Bicknell,128 S 300 W,435-425-3744,Yes,-111.549765,38.33897076
Escalante Dental Clinic,UT,Escalante,65 N Center St,435-425-3744,Yes,-111.6002705,37.77131517
Kazan Memorial Clinic,UT,Escalante,570 E Moqui Ln,435-826-4374,Yes,-111.5908177,37.76717262
Hope Christian Health Center,NV,North Las Vegas,4357 Corporate Center Dr Ste 450,702-644-4673,No,-115.09972,36.23799399
MOUNTAINLANDS FAMILY HEALTH CENTER- PAYSON,UT,Payson,910 E 100 N Ste 155,801-465-1890,Yes,-111.7172957,40.0444739
Hope Christian Health Center MLK,NV,North Las Vegas,4040 N Martin L King Blvd Ste B,702-644-4673,No,-115.1619025,36.23307098
Hope Christian Health Center MLK,NV,North Las Vegas,4040 N Martin L King Blvd Ste A,702-644-4673,No,-115.1619025,36.23307098
FirstMed North Las Vegas,NV,North Las Vegas,3940 N Martin L King Blvd Ste 105B,702-731-0909,No,-115.1618432,36.2308504
North Las Vegas Family Health Center,NV,North Las Vegas,2225 Civic Center Dr Ste 224,877-581-6266,Yes,-115.1188994,36.19965283
"All For Health, Las Vegas",NV,Las Vegas,1735 N Nellis Blvd Ste G,818-409-3020,No,-115.0623101,36.19135083
Nevada Health Centers at C.P. Squires,NV,North Las Vegas,1312 E Tonopah Ave,702-220-9905,Yes,-115.123088,36.19211746
Nevada Children's Health Project,NV,Las Vegas,1799 Mount Mariah Dr,775-888-6614 x1114,Yes,-115.163929,36.1934825
NEVADA HEALTH CTRS MAMMOVAN,NV,Las Vegas,1799 Mount Mariah Dr,877-581-6266,Yes,-115.163929,36.1934825
Martin Luther King Health Center,NV,Las Vegas,1799 Mount Mariah Dr,800-787-2568,Yes,-115.163929,36.1934825
Mobile Medical Unit,NV,Las Vegas,2025 N Rancho Dr,702-644-4673,No,-115.1942991,36.19743113
LAS VEGAS OUTREACH CLINIC,NV,North Las Vegas,47 W Owens Ave,702-307-4635,Yes,-115.1400003,36.18828536
"Tempoary Site-Southern Nevada Health District, East Las Vegas",NV,Las Vegas,570 N Nellis Blvd,702-759-1674,Yes,-115.0619925,36.16832799
Temporary Site- All Saints Episcopal Church and Day School,NV,Las Vegas,4201 W Washington Ave Rm 1-4,702-759-1674,Yes,-115.198601,36.18046301
FirstMed Shadow Lane,NV,Las Vegas,400 Shadow Ln,702-377-1000,No,-115.1654775,36.16666301
Southern Nevada Community Health Center,NV,Las Vegas,280 S Decatur Blvd,702-759-1000,Yes,-115.209864,36.171019
"Tempoary Site-Southern Nevada Health District, Mobile Unit",NV,Las Vegas,700 S Martin L King Blvd,702-759-1674,Yes,-115.162732,36.16228799
First Person Care Clinic,NV,Las Vegas,1200 S 4th St,702-380-8118,Yes,-115.1499353,36.15727075
Eastern Family Medical and Dental Center,NV,Las Vegas,2212 S Eastern Ave,800-787-2568,Yes,-115.119258,36.14655499
AMARGOSA VALLEY MEDICAL CLINIC,NV,Amargosa Valley,1690 E Amargosa Farm Rd,775-372-5432,Yes,-116.428588,36.5688387
Huntridge Dental Center,NV,Las Vegas,2100 S Maryland Pkwy Ste 5,702-380-8118,Yes,-115.1371475,36.14669999
Silver State Health Services,NV,Las Vegas,1909 S Jones Blvd,702-937-3418,Yes,-115.2255992,36.14973001
FirstMed Health and Wellness Center,NV,Las Vegas,3343 S Eastern Ave,702-731-0909,No,-115.1186074,36.12901598
CAMBRIDGE FAMILY HLTH CTR,NV,Las Vegas,3900 Cambridge St Ste 102,800-787-2568,Yes,-115.139031,36.11898699
Mountainlands Family Health Center--Wasatch,UT,Provo,750 W 200 N Ste 201,801-429-2000,Yes,-111.672191,40.23652752
Silver State Health Services- Renaissance,NV,Las Vegas,2215 Renaissance Dr Ste C,702-471-0420,Yes,-115.1218874,36.1035052
East Bay Health Center,UT,Provo,299 E 900 S Ste 101,801-429-2000,Yes,-111.653328,40.22208747
Silver State Health Services- Renaissance,NV,Las Vegas,2255 Renaissance Dr Ste A,702-471-0420,Yes,-115.1228597,36.10227917
Mountainlands Community Health Center Main Site Clinic,UT,Provo,589 S State St,801-374-9660,Yes,-111.643769,40.22614863
Henderson Family Health Center,NV,Henderson,98 E Lake Mead Pkwy,800-787-2568,Yes,-114.983695,36.039756
Nevada Health Centers - Bower School Based at Basic Academy,NV,Henderson,400 Palo Verde Dr,702-636-5400,Yes,-114.963116,36.03351966
Utah Partners for Health Family Health Clinics - West Jordan,UT,West Jordan,9103 S 1300 W Ste 102,801-417-0131,Yes,-111.9291625,40.58587301
"Community Health Center, Inc. Ellis R. Shipp",UT,West Valley City,4535 S 5600 W,801-964-6214,Yes,-112.0246833,40.67166736
First Person Care Clinic,NV,Henderson,200 E Horizon Dr,702-380-8118,Yes,-114.985336,36.01287
Utah Partners for Health Mobile Clinic,UT,Midvale,8446 S Harrison St,801-417-0131,Yes,-111.9004411,40.59801231
Mid-Valley Health Clinic,UT,Midvale,8446 S Harrison St,801-417-0131,Yes,-111.9004411,40.59801231
Utah Partners for Health Mobile Eye Clinic,UT,Midvale,8446 S Harrison St,801-417-0131,Yes,-111.9004411,40.59801231
Utah Partners for Health Dental &amp; Behavioral Health,UT,Midvale,7651 S Main St,801-417-0131,Yes,-111.9102625,40.61229994
OQUIRRH VIEW COMMUNITY HEALTH CENTER,UT,Taylorsville,4745 S 3200 W,801-964-6214,Yes,-111.9674325,40.66663998
"Community Health Centers, Inc. 72nd Street Clinic",UT,Midvale,220 W 7200 S,801-566-5494,Yes,-111.8981,40.6206375
Pahrump,NV,Pahrump,1430 E Calvada Blvd Ste 100,702-471-0420,Yes,-115.9881403,36.19196751
Neighborhood Clinic at Mountainview School,UT,Salt Lake City,1388 S Navajo St Ste C,801-412-6920,Yes,-111.9295172,40.73891273
Midtown South Salt Lake Community Health Center,UT,Salt Lake City,2253 S State St,801-486-0911,Yes,-111.8882298,40.72186004
Admin Only,UT,Salt Lake City,242 W Paramount Ave,801-364-0058,Yes,-111.898192,40.73639749
"WASATCH HOMELESS HEALTH CARE, INC d.b.a Fourth Street Clinic",UT,Salt Lake City,409 W 400 S,801-364-0058,Yes,-111.9030381,40.76061989
STEPHEN RATCLIFFE COMMUNITY HLTH CTR,UT,Salt Lake City,1365 W 1000 N,801-328-5750,Yes,-111.930557,40.79103254
"Community Health Centers, Inc - Central City",UT,Salt Lake City,610 S 200 E Ste B,801-964-6214,Yes,-111.885389,40.75586714
CARBON MED SERV-HELPER CLINIC,UT,Helper,125 S Main St,435-472-7000,Yes,-110.8545844,39.6847885
Temporary Site - Helper Clinic,UT,Helper,73 S Main St Ste 101,435-630-4332,Yes,-110.8545643,39.68577924
WAYNE COMMUNITY HEALTH HANKSVILLE,UT,Hanksville,30 S Highway 95,435-542-3281,Yes,-110.7042237,38.37260973
Canyonlands Healthcare - Lake Powell,AZ,Page,467 Vista Ave,928-645-8123,Yes,-111.462723,36.918459
Canyonlands Healthcare - Urgent Care,AZ,Page,440 N Navajo Dr,928-645-1700,Yes,-111.4629495,36.9170145
Midtown Community Health Center Davis County Clinic,UT,Clearfield,22 S State St,801-393-5355,Yes,-112.026449,41.113387
Hope Clinic,UT,Ogden,W 3300 S,801-393-5355,Yes,-112.0540716,41.20518036
Midtown Community Health Center Children's Clinic,UT,Washington Terrace,5285 S 400 E Ste A,801-475-7007,Yes,-111.9708018,41.16777853
James Madison Elementary Health Center,UT,Ogden,2563 Monroe Blvd,801-334-2213,Yes,-111.9593704,41.21926049
MIDTOWN COMMUNITY HEALTH CENTER,UT,Ogden,2240 Adams Ave,801-393-5355,Yes,-111.9675076,41.22585525
Jackpot Community Health Center,NV,Jackpot,950 Lady Luck Dr,775-755-2500,Yes,-114.6656869,41.98866103
"CARBON MEDICAL SERVICE ASSOCIATION, INC.",UT,East Carbon,PO BOX 930,435-888-4411,Yes,-110.41783,39.54500999
NORTHY COUNTRY - GRAND CANYON SITE,AZ,Grand Canyon,1 Clinic Rd,928-638-2551,Yes,-112.1287787,36.04756739
"Carbon Medical Service Association, Inc.",UT,Sunnyside,331 E Highway 123,435-888-4411,Yes,-110.393448,39.54968415
"Community Health Centers, Inc. - Brigham City",UT,Brigham City,980 Medical Dr Ste 1,435-726-8276,Yes,-112.027221,41.49087401
Box Elder Communty Health Center,UT,Brigham City,5 W 200 N,435-755-6061,Yes,-112.0160296,41.51482484
GREEN RIVER MEDICAL CENTER,UT,Green River,585 W Main St,435-564-3434,Yes,-110.16983,38.99542247
Navajo Mountain Community Health Center,UT,Monument Valley,2 Rainbow City Rd,928-672-2494,Yes,-110.7658163,37.06210667
Bear River Health Clinic,UT,Tremonton,440 W 600 N,435-257-3318,Yes,-112.1721639,41.71891092
North Country - Kingman Integration,AZ,Kingman,3505 Western Ave,928-753-1177,Yes,-114.040838,35.22539598
Kingman Clinic,AZ,Kingman,1510 N Stockton Hill Rd,928-753-1177,Yes,-114.032742,35.20199899
FAMILY HEALTH SERVICES - BUHL MEDICAL AND DENTAL CLINIC,ID,Buhl,725 Fair St,208-543-8271,Yes,-114.7509126,42.59264036
DESERT SAGE HEALTH CENTERS,ID,Glenns Ferry,486 W 1st Ave,208-366-7416,Yes,-115.30545,42.95376749
FAMILY HEALTH SERVICES - TWIN FALLS 325 MEDICAL CLINIC,ID,Twin Falls,325 Martin St,208-732-7101,Yes,-114.4924273,42.56784069
FAMILY HEALTH SERVICES - TWIN FALLS 388 MEDICAL CLINIC,ID,Twin Falls,388 Martin St,208-734-0451,Yes,-114.4923327,42.56903943
FAMILY HEALTH SERVICES - I.B. PERRINE ELEMENTARY SCHOOL,ID,Twin Falls,452 Caswell Ave W,208-734-1281,Yes,-114.4878592,42.57434748
FAMILY HEALTH SERVICES - BICKEL ELEMENTARY SCHOOL,ID,Twin Falls,607 2nd Ave E,208-734-1281,Yes,-114.4623824,42.55163428
FAMILY HEALTH SERVICES - CANYON RIDGE HIGH SCHOOL,ID,Twin Falls,300 N College Rd W,208-734-1281,Yes,-114.48431,42.58513545
MOBILE DENTAL UNIT,ID,Twin Falls,794 Eastland Dr,208-734-3312,Yes,-114.4405527,42.55804036
FAMILY HEALTH SERVICES - ADMINISTRATION,ID,Twin Falls,794 Eastland Dr,208-734-3312 x213,Yes,-114.4405527,42.55804036
FAMILY HEALTH SERVICES - TWIN FALLS DENTAL & BEHAVIORAL HEALTH CLINIC,ID,Twin Falls,826 Eastland Dr,208-734-1281,Yes,-114.4405527,42.55862974
FAMILY HEALTH SERVICES - JEROME MEDICAL & DENTAL CLINIC,ID,Jerome,114 Pioneer Ct,208-324-3471,Yes,-114.5177402,42.70674748
FAMILY HEALTH SERVICES - KIMBERLY MEDICAL AND DENTAL CLINIC,ID,Kimberly,132 Main St S,208-735-3938,Yes,-114.3647327,42.53323735
FAMILY HEALTH SERVICES - BURLEY JUNIOR HIGH SCHOOL,ID,Burley,700 W 16th St,208-678-0101,Yes,-113.8050881,42.53322746
FAMILY HEALTH SERVICES - CASSIA HIGH SCHOOL,ID,Burley,1010 W 17th St,208-678-0101,Yes,-113.8036602,42.5316675
FAMILY HEALTH SERVICES - FAIRFIELD MEDICAL AND DENTAL CLINIC,ID,Fairfield,401 Camas Ave W,208-764-2611,Yes,-114.7992595,43.34666744
"FAMILY HEALTH SERVICES - BURLEY MEDICAL, DENTAL &amp; BEHAVIORAL HEALTH CLINIC",ID,Burley,1309 Bennett Ave,208-678-7796,Yes,-113.7804226,42.53689253
Family Health Services - Rupert Clinic,ID,Rupert,402 6th St,208-650-7941,Yes,-113.6722534,42.61761792
FAMILY HEALTH SERVICES - DECLO JUNIOR HIGH SCHOOL,ID,Declo,205 E Main St,208-678-0101,Yes,-113.6255047,42.51818655
HEALTH WEST - AMERICAN FALLS  CHC,ID,American Falls,823 Reed St,208-226-2822,Yes,-112.8439996,42.78522088
HEALTH WEST - ABERDEEN CHC,ID,Aberdeen,330 N Main St,208-397-4126,Yes,-112.8386526,42.94760062
IRVING MIDDLE SCHOOL,ID,Pocatello,911 N Grant Ave,208-232-7862,Yes,-112.461707,42.86488298
HEALTH WEST - CHUBBUCK CHC,ID,Chubbuck,880 W Quinn Rd,208-238-2000,Yes,-112.46853,42.90574748
HEALTH WEST CITY CENTER,ID,Pocatello,1001 N 7th Ave Ste 135,208-232-7862,Yes,-112.4497555,42.87494608
HEALTH WEST - POCATELLO CHC,ID,Pocatello,1000 N 8th Ave,208-232-6260,Yes,-112.4482673,42.87534445
HEALTH WEST PEDIATRIC AND OB/GYN CLINIC,ID,Pocatello,500 S 11th Ave Ste 204,208-232-7862,Yes,-112.4332151,42.86692649
HEALTH WEST - FAMILY MEDICINE CHC,ID,Pocatello,465 Memorial Dr,208-232-7862,Yes,-112.4320735,42.87047594
Shoshone-Bannock Tribes Tribal Health and Human Services Community Health Center,ID,Fort Hall,Navajo Dr,208-478-3995,Yes,-112.4317382,43.02822631
HEALTH WEST - DOWNEY CHC,ID,Downey,79 N Main St,208-897-5600,Yes,-112.1244003,42.42978179
CCI - Blackfoot,ID,Blackfoot,625 W Pacific St Ste 3,208-782-0500,Yes,-112.3507795,43.19296748
Challis Area Health Center,ID,Challis,611 Clinic Rd,208-879-4351,Yes,-114.22487,44.51167256
HEALTH WEST - LAVA CHC,ID,Lava Hot Springs,85 S 5th W,208-776-5602,Yes,-112.019169,42.618644
HEALTH WEST - PRESTON CHC,ID,Preston,655 S 4th E Ste 600,208-869-6622,Yes,-111.8668204,42.08374796
Cache Valley Community Health Center,UT,North Logan,1515 N 400 E Ste 104,435-755-6061,Yes,-111.8239756,41.75932236
Cache Valley Community Health Center South,UT,Providence,517 W 100 N Ste 110,435-755-6061,Yes,-111.8305628,41.71015294
Midtown Community Health Center Logan Clinic,UT,Logan,550 E 1400 N,435-752-7060,Yes,-111.8196012,41.7573949
CCI - Idaho Falls,ID,Idaho Falls,2100 Alan St,208-538-7655,Yes,-111.9918479,43.48446534
CCI - Roberts,ID,Roberts,651 N. 2558 EAST,208-228-2200,Yes,-112.130275,43.723355
"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",UT,Garden City,325 W Logan Rd,435-946-3660,Yes,-111.4012895,41.94680974
Bear Lake Community Health Center - Montpelier,ID,Montpelier,152 S 4th St,435-755-6061,Yes,-111.2978129,42.31636922
Medical and Dental - Rexburg,ID,Rexburg,72 S 1st E,208-356-4900,Yes,-111.781617,43.82397752
Medical - Saint Anthony,ID,Saint Anthony,20 N 3rd E,208-624-4100 x100,Yes,-111.6785218,43.96680033
Dental - Saint Anthony,ID,Saint Anthony,325 E Main St,208-624-2000,Yes,-111.67814,43.96641744
Grand Peaks Medical,ID,Saint Anthony,335 E Main St,208-624-4100,Yes,-111.67771,43.96641752
Grand Peaks Behavioral Health and Administration,ID,Saint Anthony,322 E 1st N,208-624-4100,Yes,-111.6779402,43.96735253
DILLON CHC,MT,Dillon,41 Barrett St,406-683-4440,Yes,-113.0679581,45.00763919
Evanston Community Health Center,WY,Evanston,75 Yellow Creek Rd Ste 102,307-789-8290,Yes,-110.9683756,41.25508952
Lewis &amp; Clark Health Center,ID,Lewiston,1203 Idaho St,208-848-8300,Yes,-117.017626,46.41722101
Lewis and Clark Dental Clinic,WA,Clarkston,844 6th St,208-848-8300,Yes,-117.0456098,46.41283028
Latah Community Health,ID,Moscow,803 S Main St Ste 120,208-848-8300,Yes,-117.0014201,46.72778004
Unify Family Dental,WA,Pullman,1095 SE Bishop Blvd,509-865-6175,Yes,-117.1648357,46.71449006
Coeur dAlene Tribal School,ID,Desmet,30 Moctelme St,208-686-5808,Yes,-116.9155895,47.14762477
Heritage Health Behavioral Health St. Maries,ID,St Maries,622 W College Ave Ste 2,208-245-4363,Yes,-116.5663397,47.31530749
Benewah Medical Center dba Marimn Health Wellness Center,ID,Plummer,PO BOX 700,208-686-1931,Yes,-116.88812,47.32064001
Plummer-Worley Joint School District #44,ID,Plummer,1345 E St,208-686-2108,Yes,-116.8937165,47.33299551
Benewah Medical Center,ID,Plummer,427 12th St,208-686-1931,Yes,-116.8915234,47.33452441
Early Childhood Learning Center (ECLC),ID,Plummer,350 Annie Antelope Ave,208-686-1931,Yes,-116.8932537,47.33922292
Sapphire Community Health,MT,Hamilton,316 N 3rd St,406-541-0032,Yes,-114.1589311,46.24973558
CONNELL CLINIC,WA,Connell,1051 Columbia Ave,509-234-0551,Yes,-118.86148,46.64945149
TCCH Basin City - WIC,WA,Mesa,6950 Road 170,509-269-4115,Yes,-119.14678,46.59102753
Heritage Health Pinehurst Elementary,ID,Pinehurst,201 S 3rd St,208-292-0292,Yes,-116.2387501,47.53711599
Dirne CHC- Kellogg Clinic,ID,Kellogg,740 Mckinley Ave,208-783-1267,Yes,-116.1318422,47.537247
PHC1-Mineral County-Superior,MT,Superior,405 Brooklyn Ave,406-822-4278,Yes,-114.8763759,47.18656531
Cheney Health Center,WA,Cheney,1720 2nd St,509-444-8200,Yes,-117.565695,47.49747298
Othello Clinic,WA,Othello,1515 E Columbia St,509-488-5256,Yes,-119.1684236,46.81276376
CBHA IT Support 14th Ave,WA,Othello,475 N 14th Ave,509-488-6644,Yes,-119.1544272,46.83177079
Southgate Clinic,WA,Spokane,5620 S Regal St Ste 11,509-444-8200,Yes,-117.369487,47.60346101
Ag Worker Health &amp; Services,MT,Lolo,9801 Valley Grove Dr,406-273-4633,Yes,-114.0887497,46.77648749
Dirne CHC Homeless Walk In Clinic,ID,Coeur D Alene,201 E Harrison Ave,208-215-1009,Yes,-116.78402,47.68629748
Heritage Health Homeless Program,ID,Coeur D Alene,109 E Harrison Ave,208-215-1009,Yes,-116.7854796,47.68630749
DCHC Mobile Unit,ID,Coeur D Alene,1090 W Park Pl,208-292-0292,Yes,-116.8004821,47.69462301
DCHC School Based Mobile Clinic,ID,Coeur D Alene,1090 W Park Pl,208-661-1603,Yes,-116.8004821,47.69462301
Dirne Community Health Center/Heritage Health Suite A and B,ID,Coeur D Alene,1090 W Park Pl,208-215-2005,Yes,-116.8004821,47.69462301
Dirne Behavioral Health,ID,Coeur D Alene,"2025 W Park Pl, Ste B",208-620-5210,Yes,-116.800518,47.69536313
Heritage Health - Family Support Services,ID,Coeur D Alene,2201 N Ironwood Pl,208-769-4222,Yes,-116.7984909,47.69613993
Heritage Health Family Support Services,ID,Coeur D Alene,2205 N Ironwood Pl Ste B,208-769-4222,Yes,-116.7984909,47.69678978
Heritage Health Restored Paths,ID,Coeur D Alene,2205 N Ironwood Pl,208-664-8347,Yes,-116.7984908,47.6967899
Valley Clinic,WA,Spokane Valley,15812 E Indiana Ave,509-444-8200,Yes,-117.1933693,47.67012935
Perry Street Clinic,WA,Spokane,817 S Perry St Unit B,509-444-8200,Yes,-117.389129,47.647781
Dirne CHC - UGM Clinic,ID,Coeur D Alene,196 W Haycraft Ave,208-665-4673,Yes,-116.78824,47.7025225
Spokane Urgent Care-Valley,WA,Spokane Valley,1502 N Vercler Rd,509-444-8204,Yes,-117.2342708,47.67095348
Heritage Health Kroc Rx,ID,Coeur D Alene,1765 W Golf Course Rd,208-292-0292,Yes,-116.8098505,47.70453746
Denny Murphy Clinic,WA,Spokane,1001 W 2nd Ave,509-444-8200,Yes,-117.426761,47.65417702
Heritage Health Post Falls,ID,Post Falls,925 E Polston Ave,208-618-0787,Yes,-116.9352499,47.71457747
Unify Community Health,WA,Spokane,120 W Mission Ave,509-326-4343,Yes,-117.413699,47.67177747
NATIVE Project,WA,Spokane,1803 W Maxwell Ave,509-483-7535,Yes,-117.4386594,47.67080252
"Unify Community Health, West Central",WA,Spokane,1603 N Belt St,509-326-4343,Yes,-117.443493,47.67259801
Heritage Health Administration,ID,Coeur D Alene,6795 N Mineral Dr,208-620-5200,Yes,-116.79504,47.73434573
Heritage Health Post Falls High School SBHC,ID,Post Falls,2832 E Poleline Ave,208-292-0292,Yes,-116.90924,47.73038247
North Central Clinic,WA,Spokane,914 W Carlisle Ave,509-444-8200,Yes,-117.4254178,47.67954512
"Unify Community Health, Northeast",WA,Spokane,4001 N Cook St,509-326-4343,Yes,-117.3735707,47.69413615
CHAS Health at Rogers High School,WA,Spokane,1622 E Wellesley Ave,509-444-8200,Yes,-117.386084,47.69968199
Maple Street Clinic,WA,Spokane,3919 N Maple St,509-444-8200,Yes,-117.435714,47.69379299
Willard Alternative High School,MT,Missoula,901 S 6th St W,406-728-2400,Yes,-114.0099402,46.86403253
Partnership Health Center - Western Montana Mental Health Center,MT,Missoula,1315 Wyoming St,406-541-1080,Yes,-114.0158,46.87188247
Market Street Clinic,WA,Spokane,5921 N Market St,509-444-8200,Yes,-117.3647808,47.71186077
Poverello Center,MT,Missoula,1110 W Broadway St,406-258-4789,Yes,-114.0090121,46.87663698
Spokane Urgent Care-North,WA,Spokane,5901 N Lidgerwood St Ste 126,866-907-8200,Yes,-117.406819,47.71203101
Lowell School Health Center,MT,Missoula,1150 Sherwood St,406-258-4789,Yes,-114.00779,46.88001744
CHAS Health Family Dental,WA,Spokane,203 E Dalke Ave,509-444-8200,Yes,-117.406868,47.71369302
MISSOULA CITY-COUNTY HEALTH DEPT (PARTNERSHIP HEALTH CENTER),MT,Missoula,323 W Alder St,406-258-4789,Yes,-113.9958278,46.87606303
Partnership Health Center Creamery Building,MT,Missoula,401 Railroad St W,406-258-4789,Yes,-113.9962714,46.87733364
Heritage Health- Betty Kiefer Elementary SBHC,ID,Rathdrum,13898 N Schooner St,208-620-5250,Yes,-116.8998291,47.79829999
Heritage Mental Health Rathdrum,ID,Rathdrum,14775 N Kimo Ct Ste B,208-712-8931,Yes,-116.8959148,47.80554438
Heritage Health SBHC - Lakeland School District Office,ID,Rathdrum,N Washington St,208-292-0252,Yes,-116.8872306,47.81288054
Heritage Health- Mountain View High School SBHC,ID,Rathdrum,7802 W Main St,208-620-5250,Yes,-116.8938255,47.81280433
Heritage Health Lakeland TLC,ID,Rathdrum,7748 W Main St,208-292-0292,Yes,-116.8929955,47.81327426
Heritage Health-Lakeland Junior High SBHC,ID,Rathdrum,15601 N Highway 41,208-620-5250,Yes,-116.884705,47.81438557
Heritage Health - John Brown Elementary SBHC,ID,Rathdrum,15574 N Washington St,208-620-5250,Yes,-116.8890206,47.8142642
Heritage Health- Lakeland High School SBHC,ID,Rathdrum,7006 ID-53,208-620-5250,Yes,-116.8803587,47.81684357
Heritage Health Rathdrum,ID,Rathdrum,16760 N Highway 41,208-687-5627,Yes,-116.8808444,47.82177451
Heritage Health - Garwood Elementary SBHC,ID,Rathdrum,17506 N Ramsey Rd,208-620-5250,Yes,-116.8080391,47.83112993
Heritage Health- Twin Lakes Elementary SBHC,ID,Rathdrum,5326 W Rice Rd,208-620-5250,Yes,-116.8584722,47.86068876
Lake Spokane Community Dental Clinic,WA,Nine Mile Falls,5952 Blackstone Way Ste 100,509-464-0002,Yes,-117.5686735,47.81296283
LAKE SPOKANE COMMUNITY HLTH CTR.,WA,Nine Mile Falls,5962 Blackstone Way,509-464-3627,Yes,-117.5673539,47.81364709
MOSES LAKE COMMUNITY HEALTH CENTER,WA,Moses Lake,605 S Coolidge St,509-765-0674,Yes,-119.2625085,47.12968668
Heritage Health - Athol Elementary SBHC,ID,Athol,6333 E Menser Ave,208-620-5250,Yes,-116.6999403,47.94420751
Heritage Health- Timberlake High School SBHC,ID,Spirit Lake,5973 W Highway 54,208-620-5250,Yes,-116.8648963,47.95270739
Heritage Health- Timberlake Junior High SBHC,ID,Spirit Lake,5830 W Blackwell Blvd,208-620-5250,Yes,-116.8634201,47.95730247
Heritage Health- Spirit Lake Elementary SBHC,ID,Spirit Lake,32605 N 5th Ave,208-620-5250,Yes,-116.868631,47.96990035
North County Clinic,WA,Deer Park,401 S Main St,509-444-8200,Yes,-117.4768924,47.95064401
WAHLUKE CLINIC,WA,Mattawa,601 Government Way,509-932-3535,Yes,-119.8990496,46.73779754
MCMC WIC & PSS,WA,Mattawa,215 1st St,509-932-5373,Yes,-119.9048145,46.73699363
MCMC Mobile Clinic,WA,Mattawa,210 Government Rd,509-932-4499,Yes,-119.90441,46.73779247
Mattawa Community Medical Clinic,WA,Mattawa,210 Government Rd,509-932-4499,Yes,-119.90441,46.73779247
MCMC - Behavioral Health,WA,Mattawa,101 William Ave,509-932-4499,Yes,-119.9050176,46.7380689
Anaconda Community Health Center,MT,Anaconda,110 Oak St,406-723-4075,Yes,-112.9513856,46.12961222
LOON LAKE COMMUNITY HEALTH CTR,WA,Loon Lake,3994 Colville Rd,509-233-8412,Yes,-117.6302198,48.06275746
SPRINGDALE COMMUNTY HEALTH CTR,WA,Springdale,114 S Main St,509-258-4234,Yes,-117.741471,48.0551821
SPRINGDALE COMM. DENTAL CLINIC,WA,Springdale,105 N 2nd St,509-258-7543,Yes,-117.7447472,48.05692462
KHS Priest River,ID,Priest River,6509 Highway 2 Ste 101,208-448-2321,Yes,-116.9009698,48.18055752
Seeley Lake,MT,Seeley Lake,3050 Mt Highway 83 N,406-258-4191,Yes,-113.4757002,47.16413852
Blacktail Pharmacy,MT,Dillon,125 E Glendale St,406-683-4440,Yes,-112.6368236,45.21602497
Ag Worker Health &amp; Services,MT,Dillon,116 N Washington St,406-683-5570,Yes,-112.63441,45.21752638
"Montana Migrant and Seasonal Farmworkers Council, Inc.",MT,Polson,General Delivery,800-813-4492,Yes,-114.16107,47.69237
Sandpoint Pediatrics - Kaniksu Health Services,ID,Sandpoint,420 N Second Ave,208-265-2242,Yes,-116.5487487,48.27706034
KHS Ponderay,ID,Ponderay,30410 Highway 200,208-267-1718,Yes,-116.5443097,48.29734606
Ag Worker Health &amp; Services,MT,Polson,35432 Mt Highway 35,800-813-4492,Yes,-114.038555,47.72573827
BUTTE-SILVER BOW PRIMARY HEALTH CARE,MT,Butte,445 Centennial Ave,406-723-4075,Yes,-112.5418,45.99814752
Community Health Center Rosenthal Building,MT,Butte,1145 S Montana St,406-723-4075,Yes,-112.5390895,45.99830916
Emma Park Neighborhood Center,MT,Butte,25 W Silver St,406-723-4075,Yes,-112.5362714,46.01020749
CHEWELAH COMMUNITY HEALTH CENTER,WA,Chewelah,518 E Clay Ave,509-935-8424,Yes,-117.7114591,48.27721393
BUTTE RESCUE MISSION,MT,Butte,610 E Platinum St,406-782-0925,Yes,-112.5279677,46.00944389
INCHELIUM COMMUNITY HLTH CENTER,WA,Inchelium,39 Short Cut Rd,509-722-7006,Yes,-118.2047737,48.29898215
Northwest Community Health Center - LIBBY MIDDLE HIGH SCHOOL,MT,Libby,150 Education Way,406-283-6900,Yes,-115.5702814,48.3940591
Northwest Community Health Center,MT,Libby,320 E 2nd St,406-293-3755,Yes,-115.5467117,48.39270693
LIBBY CLINIC,MT,Libby,211 E 2nd St,406-293-8711,Yes,-115.5485089,48.39322313
Northwest Community Health Center - Troy,MT,Troy,102 Sandalwood Court,406-295-8318,Yes,-115.89228,48.46155
