"id","GEOID","NAME","total_population","male","female","male_50above","female_50above"
"673","17155","Putnam County, Illinois",5746,2959,2787,1329,1369
"674","17157","Randolph County, Illinois",32546,18019,14527,6505,6376
"675","17159","Richland County, Illinois",15881,7809,8072,3039,3454
"676","17161","Rock Island County, Illinois",145275,71596,73679,26071,30004
"677","17163","St. Clair County, Illinois",263463,127237,136226,42784,50930
"678","17165","Saline County, Illinois",24231,11962,12269,4582,5321
"679","17167","Sangamon County, Illinois",197661,94876,102785,33918,40873
"680","17169","Schuyler County, Illinois",7064,3701,3363,1559,1542
"681","17171","Scott County, Illinois",5047,2460,2587,1021,1128
"682","17173","Shelby County, Illinois",21832,10791,11041,4500,4976
"683","17175","Stark County, Illinois",5500,2716,2784,1180,1252
"684","17177","Stephenson County, Illinois",45433,21986,23447,9252,10667
"685","17179","Tazewell County, Illinois",133852,65987,67865,23817,27325
"686","17181","Union County, Illinois",17127,8592,8535,3518,3713
"687","17183","Vermilion County, Illinois",78407,38967,39440,14297,16197
"688","17185","Wabash County, Illinois",11573,5666,5907,2317,2566
"689","17187","Warren County, Illinois",17338,8353,8985,3073,3504
"690","17189","Washington County, Illinois",14155,7108,7047,2913,3057
"691","17191","Wayne County, Illinois",16487,8141,8346,3300,3620
"692","17193","White County, Illinois",14025,6882,7143,2844,3212
"693","17195","Whiteside County, Illinois",56396,27799,28597,11099,12354
"694","17197","Will County, Illinois",688697,341816,346881,104326,114567
"695","17199","Williamson County, Illinois",67299,33607,33692,12275,13652
"696","17201","Winnebago County, Illinois",286174,139748,146426,49649,56575
"697","17203","Woodford County, Illinois",38817,19343,19474,7119,7730
"698","18001","Adams County, Indiana",35195,17561,17634,5267,6131
"699","18003","Allen County, Indiana",370016,180669,189347,56031,64651
"700","18005","Bartholomew County, Indiana",81893,41150,40743,13322,14725
"701","18007","Benton County, Indiana",8667,4326,4341,1544,1757
"702","18009","Blackford County, Indiana",12129,6037,6092,2448,2749
"703","18011","Boone County, Indiana",64321,31750,32571,10075,11258
"704","18013","Brown County, Indiana",15034,7441,7593,3498,3863
"705","18015","Carroll County, Indiana",19994,10034,9960,3921,4245
"706","18017","Cass County, Indiana",38084,19082,19002,6839,7637
"707","18019","Clark County, Indiana",115702,56359,59343,18662,22012
"708","18021","Clay County, Indiana",26268,12935,13333,4830,5312
"709","18023","Clinton County, Indiana",32301,15986,16315,5358,6224
"710","18025","Crawford County, Indiana",10581,5367,5214,2226,2222
"711","18027","Daviess County, Indiana",32937,16634,16303,5352,5733
"712","18029","Dearborn County, Indiana",49501,24764,24737,9296,10049
"713","18031","Decatur County, Indiana",26552,13202,13350,4568,5227
"714","18033","DeKalb County, Indiana",42704,21307,21397,7451,8231
"715","18035","Delaware County, Indiana",115616,55743,59873,18272,21648
"716","18037","Dubois County, Indiana",42418,21048,21370,7707,8415
"717","18039","Elkhart County, Indiana",203604,100713,102891,30704,34691
"718","18041","Fayette County, Indiana",23259,11474,11785,4440,4997
"719","18043","Floyd County, Indiana",76809,37135,39674,12974,15118
"720","18045","Fountain County, Indiana",16486,8251,8235,3166,3514
"721","18047","Franklin County, Indiana",22842,11426,11416,4359,4611
"722","18049","Fulton County, Indiana",20212,9962,10250,3773,4304
"723","18051","Gibson County, Indiana",33596,16848,16748,6144,6704
"724","18053","Grant County, Indiana",66944,31935,35009,12075,14054
"725","18055","Greene County, Indiana",32295,16033,16262,6384,6824
"726","18057","Hamilton County, Indiana",316095,154532,161563,44497,50234
"727","18059","Hancock County, Indiana",73830,36255,37575,12821,14234
"728","18061","Harrison County, Indiana",39712,19875,19837,7611,8117
"729","18063","Hendricks County, Indiana",160940,80391,80549,24448,27169
"730","18065","Henry County, Indiana",48483,25391,23092,9166,10028
"731","18067","Howard County, Indiana",82387,39852,42535,15007,17669
"732","18069","Huntington County, Indiana",36378,17875,18503,6463,7440
"733","18071","Jackson County, Indiana",43938,21822,22116,7287,8370
"734","18073","Jasper County, Indiana",33449,16699,16750,6017,6571
"735","18075","Jay County, Indiana",20993,10398,10595,3703,4151
"736","18077","Jefferson County, Indiana",32237,15333,16904,5886,6599
"737","18079","Jennings County, Indiana",27727,13925,13802,4994,5293
"738","18081","Johnson County, Indiana",151564,74349,77215,23010,26764
"739","18083","Knox County, Indiana",37409,18949,18460,6389,7519
"740","18085","Kosciusko County, Indiana",78806,39264,39542,13590,14771
"741","18087","LaGrange County, Indiana",38942,19752,19190,5510,6051
"742","18089","Lake County, Indiana",486849,235515,251334,80596,95302
"743","18091","LaPorte County, Indiana",110552,57068,53484,20047,21872
"744","18093","Lawrence County, Indiana",45619,22558,23061,8671,9886
"745","18095","Madison County, Indiana",129505,64707,64798,22875,26182
"746","18097","Marion County, Indiana",944523,455007,489516,129182,156811
"747","18099","Marshall County, Indiana",46595,23174,23421,8174,9183
"748","18101","Martin County, Indiana",10210,5155,5055,2018,2149
"749","18103","Miami County, Indiana",35901,19084,16817,6540,6712
"750","18105","Monroe County, Indiana",145403,72416,72987,18510,21488
"751","18107","Montgomery County, Indiana",38276,19442,18834,7004,7744
"752","18109","Morgan County, Indiana",69727,34447,35280,12846,13890
"753","18111","Newton County, Indiana",14018,7004,7014,2816,2929
"754","18113","Noble County, Indiana",47451,23844,23607,8221,8747
"755","18115","Ohio County, Indiana",5887,2918,2969,1321,1402
"756","18117","Orange County, Indiana",19547,9727,9820,3786,4147
"757","18119","Owen County, Indiana",20878,10628,10250,4558,4462
"758","18121","Parke County, Indiana",16996,8211,8785,3290,3500
"759","18123","Perry County, Indiana",19141,10222,8919,3718,3809
"760","18125","Pike County, Indiana",12411,6256,6155,2583,2650
"761","18127","Porter County, Indiana",168041,83212,84829,28877,32305
"762","18129","Posey County, Indiana",25589,12787,12802,5112,5335
"763","18131","Pulaski County, Indiana",12660,6404,6256,2555,2639
"764","18133","Putnam County, Indiana",37559,19714,17845,6711,6866
"765","18135","Randolph County, Indiana",25076,12269,12807,4793,5342
"766","18137","Ripley County, Indiana",28425,14077,14348,5194,5716
"767","18139","Rush County, Indiana",16704,8185,8519,3145,3502
"768","18141","St. Joseph County, Indiana",269240,130832,138408,42655,49460
"769","18143","Scott County, Indiana",23743,11670,12073,4172,4726
"770","18145","Shelby County, Indiana",44399,21941,22458,8151,8962
"771","18147","Spencer County, Indiana",20526,10363,10163,4166,4354
"772","18149","Starke County, Indiana",22941,11302,11639,4403,4636
"773","18151","Steuben County, Indiana",34474,17542,16932,6895,7285
"774","18153","Sullivan County, Indiana",20792,11174,9618,3878,4002
"775","18155","Switzerland County, Indiana",10628,5504,5124,2026,2010
"776","18157","Tippecanoe County, Indiana",189294,96866,92428,22398,25843
"777","18159","Tipton County, Indiana",15218,7609,7609,3102,3402
"778","18161","Union County, Indiana",7153,3514,3639,1372,1526
"779","18163","Vanderburgh County, Indiana",181313,87676,93637,30320,35805
"780","18165","Vermillion County, Indiana",15560,7809,7751,2941,3392
"781","18167","Vigo County, Indiana",107693,54705,52988,16895,19671
"782","18169","Wabash County, Indiana",31631,15365,16266,5945,6959
"783","18171","Warren County, Indiana",8247,4124,4123,1724,1765
"784","18173","Warrick County, Indiana",61928,30409,31519,11049,12256
"785","18175","Washington County, Indiana",27827,13892,13935,5198,5581
"786","18177","Wayne County, Indiana",66613,32288,34325,11916,14321
"787","18179","Wells County, Indiana",27947,13773,14174,5004,5837
"788","18181","White County, Indiana",24217,12143,12074,4730,5187
"789","18183","Whitley County, Indiana",33649,16702,16947,6189,6975
"790","19001","Adair County, Iowa",7124,3516,3608,1541,1673
"791","19003","Adams County, Iowa",3726,1854,1872,831,893
"792","19005","Allamakee County, Iowa",13880,7045,6835,2986,3118
"793","19007","Appanoose County, Iowa",12510,6154,6356,2650,2947
"794","19009","Audubon County, Iowa",5637,2758,2879,1317,1448
"795","19011","Benton County, Iowa",25626,12783,12843,5048,5292
"796","19013","Black Hawk County, Iowa",133009,65309,67700,20838,23780
"797","19015","Boone County, Iowa",26399,13310,13089,5004,5419
"798","19017","Bremer County, Iowa",24782,12274,12508,4468,4944
"799","19019","Buchanan County, Iowa",21125,10451,10674,3743,4158
"800","19021","Buena Vista County, Iowa",20260,10238,10022,3404,3416
"801","19023","Butler County, Iowa",14735,7381,7354,3061,3313
"802","19025","Calhoun County, Iowa",9780,5044,4736,2124,2287
"803","19027","Carroll County, Iowa",20344,9988,10356,3895,4441
"804","19029","Cass County, Iowa",13191,6547,6644,2683,3123
"805","19031","Cedar County, Iowa",18445,9161,9284,3657,3923
"806","19033","Cerro Gordo County, Iowa",42984,20850,22134,8531,10179
"807","19035","Cherokee County, Iowa",11468,5796,5672,2577,2806
"808","19037","Chickasaw County, Iowa",12099,6058,6041,2532,2660
"809","19039","Clarke County, Iowa",9282,4689,4593,1708,1830
"810","19041","Clay County, Iowa",16313,8051,8262,3174,3607
"811","19043","Clayton County, Iowa",17672,8900,8772,4027,4174
"812","19045","Clinton County, Iowa",47218,23126,24092,9139,10238
"813","19047","Crawford County, Iowa",17132,8547,8585,3035,3307
"814","19049","Dallas County, Iowa",84002,41367,42635,10699,12400
"815","19051","Davis County, Iowa",8885,4398,4487,1552,1679
"816","19053","Decatur County, Iowa",8044,4017,4027,1431,1588
"817","19055","Delaware County, Iowa",17258,8689,8569,3580,3730
"818","19057","Des Moines County, Iowa",39600,19313,20287,7621,8531
"819","19059","Dickinson County, Iowa",17056,8515,8541,3884,4342
"820","19061","Dubuque County, Iowa",96802,47744,49058,16868,19288
"821","19063","Emmet County, Iowa",9551,4770,4781,1925,2107
"822","19065","Fayette County, Iowa",19929,9998,9931,4110,4473
"823","19067","Floyd County, Iowa",15858,7766,8092,3178,3583
"824","19069","Franklin County, Iowa",10245,5117,5128,2060,2248
"825","19071","Fremont County, Iowa",6968,3470,3498,1526,1631
"826","19073","Greene County, Iowa",9003,4380,4623,1813,2121
"827","19075","Grundy County, Iowa",12341,6108,6233,2408,2711
"828","19077","Guthrie County, Iowa",10674,5335,5339,2250,2486
"829","19079","Hamilton County, Iowa",15110,7377,7733,2964,3277
"830","19081","Hancock County, Iowa",10888,5494,5394,2325,2495
"831","19083","Hardin County, Iowa",17127,8565,8562,3493,3976
"832","19085","Harrison County, Iowa",14143,6989,7154,2839,3116
"833","19087","Henry County, Iowa",19926,10125,9801,3645,3950
"834","19089","Howard County, Iowa",9264,4580,4684,1863,2053
"835","19091","Humboldt County, Iowa",9566,4651,4915,1923,2143
"836","19093","Ida County, Iowa",6916,3457,3459,1459,1577
"837","19095","Iowa County, Iowa",16207,8052,8155,3183,3458
"838","19097","Jackson County, Iowa",19395,9712,9683,4054,4367
"839","19099","Jasper County, Iowa",36891,18669,18222,6992,7775
"840","19101","Jefferson County, Iowa",18077,9112,8965,3778,3904
"841","19103","Johnson County, Iowa",147001,72765,74236,17894,20269
"842","19105","Jones County, Iowa",20568,10585,9983,4250,4318
"843","19107","Keokuk County, Iowa",10200,5202,4998,2152,2283
"844","19109","Kossuth County, Iowa",15075,7547,7528,3333,3513
"845","19111","Lee County, Iowa",34541,17371,17170,6953,7608
"846","19113","Linn County, Iowa",222121,109540,112581,35745,40433
"847","19115","Louisa County, Iowa",11223,5724,5499,2103,2282
"848","19117","Lucas County, Iowa",8597,4318,4279,1813,1941
"849","19119","Lyon County, Iowa",11769,6013,5756,2066,2233
"850","19121","Madison County, Iowa",15890,8028,7862,2845,3086
"851","19123","Mahaska County, Iowa",22208,11252,10956,4051,4442
"852","19125","Marion County, Iowa",33207,16374,16833,5896,6478
"853","19127","Marshall County, Iowa",40271,20400,19871,7351,7828
"854","19129","Mills County, Iowa",14957,7516,7441,2961,3052
"855","19131","Mitchell County, Iowa",10631,5282,5349,2160,2441
"856","19133","Monona County, Iowa",8796,4283,4513,1894,2178
"857","19135","Monroe County, Iowa",7863,4064,3799,1552,1622
"858","19137","Montgomery County, Iowa",10155,4869,5286,2029,2331
"859","19139","Muscatine County, Iowa",42950,21476,21474,7437,7896
"860","19141","O'Brien County, Iowa",13911,6962,6949,2756,3120
"861","19143","Osceola County, Iowa",6115,3091,3024,1244,1378
"862","19145","Page County, Iowa",15363,7922,7441,3130,3471
"863","19147","Palo Alto County, Iowa",9055,4512,4543,1768,2013
"864","19149","Plymouth County, Iowa",25039,12288,12751,4622,5197
"865","19151","Pocahontas County, Iowa",6898,3384,3514,1566,1744
"866","19153","Polk County, Iowa",474274,233599,240675,67265,77524
"867","19155","Pottawattamie County, Iowa",93503,45923,47580,16379,18715
"868","19157","Poweshiek County, Iowa",18605,8990,9615,3446,4013
"869","19159","Ringgold County, Iowa",4984,2432,2552,1032,1213
"870","19161","Sac County, Iowa",9868,4818,5050,2105,2425
"871","19163","Scott County, Iowa",172288,84515,87773,28422,32268
"872","19165","Shelby County, Iowa",11694,5735,5959,2489,2759
"873","19167","Sioux County, Iowa",34825,17487,17338,5335,5835
"874","19169","Story County, Iowa",96922,50484,46438,11384,12803
"875","19171","Tama County, Iowa",17136,8497,8639,3313,3638
"876","19173","Taylor County, Iowa",6201,3168,3033,1272,1386
"877","19175","Union County, Iowa",12453,6063,6390,2337,2649
"878","19177","Van Buren County, Iowa",7223,3698,3525,1562,1590
"879","19179","Wapello County, Iowa",35315,17403,17912,6180,7113
"880","19181","Warren County, Iowa",49361,24118,25243,8031,9260
"881","19183","Washington County, Iowa",22143,11075,11068,4174,4551
"882","19185","Wayne County, Iowa",6413,3157,3256,1306,1423
"883","19187","Webster County, Iowa",36757,18972,17785,6672,7555
"884","19189","Winnebago County, Iowa",10571,5190,5381,2088,2342
"885","19191","Winneshiek County, Iowa",20401,10156,10245,4045,4335
"886","19193","Woodbury County, Iowa",102398,50496,51902,15831,17914
"887","19195","Worth County, Iowa",7489,3754,3735,1580,1629
"888","19197","Wright County, Iowa",12804,6383,6421,2619,2825
"889","20001","Allen County, Kansas",12630,6281,6349,2378,2826
"890","20003","Anderson County, Kansas",7852,3932,3920,1547,1657
"891","20005","Atchison County, Kansas",16363,7949,8414,2742,3136
"892","20007","Barber County, Kansas",4733,2356,2377,1057,1018
"893","20009","Barton County, Kansas",26791,13362,13429,5012,5595
"894","20011","Bourbon County, Kansas",14702,7243,7459,2577,3095
"895","20013","Brown County, Kansas",9664,4685,4979,1856,2103
"896","20015","Butler County, Kansas",66468,33539,32929,10974,12181
"897","20017","Chase County, Kansas",2645,1340,1305,563,605
"898","20019","Chautauqua County, Kansas",3367,1757,1610,794,843
"899","20021","Cherokee County, Kansas",20331,9998,10333,3934,4316
"900","20023","Cheyenne County, Kansas",2677,1320,1357,590,669
"901","20025","Clark County, Kansas",2053,1037,1016,476,456
"902","20027","Clay County, Kansas",8142,4078,4064,1630,1824
"903","20029","Cloud County, Kansas",9060,4523,4537,1672,1966
"904","20031","Coffey County, Kansas",8296,4195,4101,1789,1791
"905","20033","Comanche County, Kansas",1780,912,868,397,466
"906","20035","Cowley County, Kansas",35591,17915,17676,6209,6917
"907","20037","Crawford County, Kansas",39108,19527,19581,5833,6716
"908","20039","Decatur County, Kansas",2881,1419,1462,716,706
"909","20041","Dickinson County, Kansas",19004,9555,9449,3625,3915
"910","20043","Doniphan County, Kansas",7736,3960,3776,1516,1536
"911","20045","Douglas County, Kansas",119319,59067,60252,14386,16825
"912","20047","Edwards County, Kansas",2925,1494,1431,644,631
"913","20049","Elk County, Kansas",2562,1258,1304,652,695
"914","20051","Ellis County, Kansas",28878,14394,14484,4292,4907
"915","20053","Ellsworth County, Kansas",6293,3654,2639,1345,1301
"916","20055","Finney County, Kansas",36957,18940,18017,4898,5193
"917","20057","Ford County, Kansas",34484,17896,16588,4691,4736
"918","20059","Franklin County, Kansas",25563,12567,12996,4600,4985
"919","20061","Geary County, Kansas",34895,18540,16355,2757,3194
"920","20063","Gove County, Kansas",2619,1298,1321,621,651
"921","20065","Graham County, Kansas",2545,1290,1255,623,695
"922","20067","Grant County, Kansas",7616,3988,3628,1101,1107
"923","20069","Gray County, Kansas",6037,3025,3012,1020,997
"924","20071","Greeley County, Kansas",1200,581,619,242,262
"925","20073","Greenwood County, Kansas",6156,3106,3050,1443,1514
"926","20075","Hamilton County, Kansas",2616,1353,1263,428,373
"927","20077","Harper County, Kansas",5673,2884,2789,1115,1295
"928","20079","Harvey County, Kansas",34555,17200,17355,6122,6947
"929","20081","Haskell County, Kansas",4047,2006,2041,631,701
"930","20083","Hodgeman County, Kansas",1842,941,901,438,463
"931","20085","Jackson County, Kansas",13318,6642,6676,2570,2740
"932","20087","Jefferson County, Kansas",18888,9581,9307,3996,4027
"933","20089","Jewell County, Kansas",2916,1482,1434,760,800
"934","20091","Johnson County, Kansas",585502,286987,298515,88882,103461
"935","20093","Kearny County, Kansas",3932,1934,1998,574,679
"936","20095","Kingman County, Kansas",7470,3749,3721,1647,1701
"937","20097","Kiowa County, Kansas",2526,1234,1292,528,509
"938","20099","Labette County, Kansas",20367,10070,10297,3745,4353
"939","20101","Lane County, Kansas",1642,850,792,304,331
"940","20103","Leavenworth County, Kansas",80042,42933,37109,13073,13400
"941","20105","Lincoln County, Kansas",3097,1585,1512,675,749
"942","20107","Linn County, Kansas",9635,4800,4835,2085,2101
"943","20109","Logan County, Kansas",2810,1398,1412,561,625
"944","20111","Lyon County, Kansas",33299,16260,17039,5042,5752
"945","20113","McPherson County, Kansas",28630,14159,14471,5346,6068
"946","20115","Marion County, Kansas",12032,5971,6061,2541,2799
"947","20117","Marshall County, Kansas",9798,4924,4874,2119,2208
"948","20119","Meade County, Kansas",4261,2129,2132,708,842
"949","20121","Miami County, Kansas",33127,16384,16743,6189,6682
"950","20123","Mitchell County, Kansas",6222,3163,3059,1276,1407
"951","20125","Montgomery County, Kansas",32970,16410,16560,6026,6974
"952","20127","Morris County, Kansas",5566,2753,2813,1267,1390
"953","20129","Morton County, Kansas",2838,1449,1389,565,570
"954","20131","Nemaha County, Kansas",10104,5119,4985,1920,2107
"955","20133","Neosho County, Kansas",16125,7923,8202,2967,3404
"956","20135","Ness County, Kansas",2955,1493,1462,737,716
"957","20137","Norton County, Kansas",5486,3036,2450,1107,1117
"958","20139","Osage County, Kansas",15882,7968,7914,3339,3413
"959","20141","Osborne County, Kansas",3603,1807,1796,804,898
"960","20143","Ottawa County, Kansas",5902,3043,2859,1200,1285
"961","20145","Pawnee County, Kansas",6709,3769,2940,1577,1459
"962","20147","Phillips County, Kansas",5408,2648,2760,1148,1253
"963","20149","Pottawatomie County, Kansas",23545,11746,11799,3698,3828
"964","20151","Pratt County, Kansas",9582,4785,4797,1720,1985
"965","20153","Rawlins County, Kansas",2509,1286,1223,601,635
"966","20155","Reno County, Kansas",63101,31775,31326,11472,13115
"967","20157","Republic County, Kansas",4686,2271,2415,1130,1288
"968","20159","Rice County, Kansas",9762,4844,4918,1745,1996
"969","20161","Riley County, Kansas",75296,39909,35387,6995,7877
"970","20163","Rooks County, Kansas",5118,2469,2649,1042,1190
"971","20165","Rush County, Kansas",3102,1521,1581,707,742
"972","20167","Russell County, Kansas",6977,3452,3525,1613,1712
"973","20169","Saline County, Kansas",54977,27375,27602,9668,10723
"974","20171","Scott County, Kansas",4949,2460,2489,813,932
"975","20173","Sedgwick County, Kansas",512064,253201,258863,78214,87504
"976","20175","Seward County, Kansas",22692,11601,11091,2748,2880
"977","20177","Shawnee County, Kansas",178284,86327,91957,30593,36095
"978","20179","Sheridan County, Kansas",2506,1275,1231,557,574
"979","20181","Sherman County, Kansas",5966,3003,2963,996,1197
"980","20183","Smith County, Kansas",3663,1809,1854,930,983
"981","20185","Stafford County, Kansas",4214,2157,2057,881,934
"982","20187","Stanton County, Kansas",2063,1055,1008,404,437
"983","20189","Stevens County, Kansas",5686,2882,2804,902,885
"984","20191","Sumner County, Kansas",23208,11581,11627,4332,4880
"985","20193","Thomas County, Kansas",7824,3816,4008,1301,1454
"986","20195","Trego County, Kansas",2858,1450,1408,630,735
"987","20197","Wabaunsee County, Kansas",6888,3497,3391,1502,1461
"988","20199","Wallace County, Kansas",1575,790,785,356,342
"989","20201","Washington County, Kansas",5525,2844,2681,1221,1291
"990","20203","Wichita County, Kansas",2143,1019,1124,474,459
"991","20205","Wilson County, Kansas",8780,4318,4462,1727,2050
"992","20207","Woodson County, Kansas",3170,1583,1587,726,764
"993","20209","Wyandotte County, Kansas",164345,81294,83051,22622,25938
"994","21001","Adair County, Kentucky",19241,9525,9716,3519,4009
"995","21003","Allen County, Kentucky",20794,10339,10455,3761,4009
"996","21005","Anderson County, Kentucky",22214,10873,11341,3743,4296
"997","21007","Ballard County, Kentucky",8090,3992,4098,1595,1781
"998","21009","Barren County, Kentucky",43680,21165,22515,7600,8966
"999","21011","Bath County, Kentucky",12268,6096,6172,2174,2365
"1000","21013","Bell County, Kentucky",27188,13325,13863,4927,5779
"1001","21015","Boone County, Kentucky",129095,64061,65034,19584,21354
"1002","21017","Bourbon County, Kentucky",20144,9670,10474,3807,4231
"1003","21019","Boyd County, Kentucky",48091,23958,24133,8939,10221
"1004","21021","Boyle County, Kentucky",29913,14903,15010,5077,6232
"1005","21023","Bracken County, Kentucky",8306,4183,4123,1520,1596
"1006","21025","Breathitt County, Kentucky",13116,6577,6539,2428,2620
"1007","21027","Breckinridge County, Kentucky",20080,10088,9992,4069,4228
"1008","21029","Bullitt County, Kentucky",79466,39627,39839,13753,14829
"1009","21031","Butler County, Kentucky",12745,6412,6333,2371,2600
"1010","21033","Caldwell County, Kentucky",12727,6168,6559,2456,2855
"1011","21035","Calloway County, Kentucky",38776,18818,19958,6156,7150
"1012","21037","Campbell County, Kentucky",92267,45124,47143,15339,17664
"1013","21039","Carlisle County, Kentucky",4841,2344,2497,909,1064
"1014","21041","Carroll County, Kentucky",10711,5455,5256,1827,1906
"1015","21043","Carter County, Kentucky",27290,13437,13853,4918,5525
"1016","21045","Casey County, Kentucky",15796,7738,8058,2947,3350
"1017","21047","Christian County, Kentucky",72263,38411,33852,8186,9947
"1018","21049","Clark County, Kentucky",35872,17573,18299,6369,7325
"1019","21051","Clay County, Kentucky",20621,10827,9794,3451,3756
"1020","21053","Clinton County, Kentucky",10211,5084,5127,1957,2105
"1021","21055","Crittenden County, Kentucky",9083,4593,4490,1835,1960
"1022","21057","Cumberland County, Kentucky",6713,3289,3424,1491,1522
"1023","21059","Daviess County, Kentucky",99937,48742,51195,16660,19695
"1024","21061","Edmonson County, Kentucky",12122,6093,6029,2446,2580
"1025","21063","Elliott County, Kentucky",7517,4285,3232,1491,1424
"1026","21065","Estill County, Kentucky",14313,7104,7209,2742,3063
"1027","21067","Fayette County, Kentucky",318734,156453,162281,43666,52209
"1028","21069","Fleming County, Kentucky",14479,7146,7333,2634,2867
"1029","21071","Floyd County, Kentucky",36926,18070,18856,6576,7829
"1030","21073","Franklin County, Kentucky",50296,24390,25906,8756,10472
"1031","21075","Fulton County, Kentucky",6210,3102,3108,1094,1368
"1032","21077","Gallatin County, Kentucky",8703,4473,4230,1504,1521
"1033","21079","Garrard County, Kentucky",17328,8475,8853,3340,3752
"1034","21081","Grant County, Kentucky",24915,12318,12597,3847,4214
"1035","21083","Graves County, Kentucky",37294,18348,18946,6615,7550
"1036","21085","Grayson County, Kentucky",26178,13073,13105,4803,5090
"1037","21087","Green County, Kentucky",11023,5393,5630,2279,2453
"1038","21089","Greenup County, Kentucky",35765,17411,18354,6792,8000
"1039","21091","Hancock County, Kentucky",8719,4494,4225,1642,1607
"1040","21093","Hardin County, Kentucky",108095,53723,54372,16321,19164
"1041","21095","Harlan County, Kentucky",27134,13132,14002,4874,5740
"1042","21097","Harrison County, Kentucky",18668,9146,9522,3494,3928
"1043","21099","Hart County, Kentucky",18627,9166,9461,3448,3764
"1044","21101","Henderson County, Kentucky",46137,22328,23809,8041,9514
"1045","21103","Henry County, Kentucky",15814,7813,8001,2853,3285
"1046","21105","Hickman County, Kentucky",4568,2133,2435,965,1145
"1047","21107","Hopkins County, Kentucky",45664,22219,23445,8115,9570
"1048","21109","Jackson County, Kentucky",13373,6655,6718,2417,2654
"1049","21111","Jefferson County, Kentucky",767154,370844,396310,122939,149185
"1050","21113","Jessamine County, Kentucky",52422,25479,26943,8248,9381
"1051","21115","Johnson County, Kentucky",22843,11200,11643,4150,4638
"1052","21117","Kenton County, Kentucky",164688,81430,83258,26012,29370
"1053","21119","Knott County, Kentucky",15513,7693,7820,2961,3223
"1054","21121","Knox County, Kentucky",31467,15330,16137,5202,6305
"1055","21123","Larue County, Kentucky",14156,7027,7129,2721,2978
"1056","21125","Laurel County, Kentucky",60180,29412,30768,10215,11596
"1057","21127","Lawrence County, Kentucky",15783,7898,7885,2903,3152
"1058","21129","Lee County, Kentucky",6751,3501,3250,1319,1434
"1059","21131","Leslie County, Kentucky",10472,5067,5405,1987,2146
"1060","21133","Letcher County, Kentucky",22676,11087,11589,4274,4887
"1061","21135","Lewis County, Kentucky",13490,6714,6776,2646,2771
"1062","21137","Lincoln County, Kentucky",24458,11981,12477,4416,4919
"1063","21139","Livingston County, Kentucky",9263,4626,4637,1959,2117
"1064","21141","Logan County, Kentucky",26849,13154,13695,4842,5544
"1065","21143","Lyon County, Kentucky",8186,4496,3690,1964,2021
"1066","21145","McCracken County, Kentucky",65284,31193,34091,11713,14518
"1067","21147","McCreary County, Kentucky",17635,9613,8022,3160,3073
"1068","21149","McLean County, Kentucky",9331,4602,4729,1761,1986
"1069","21151","Madison County, Kentucky",89700,43737,45963,12747,14662
"1070","21153","Magoffin County, Kentucky",12666,6348,6318,2340,2500
"1071","21155","Marion County, Kentucky",19232,9751,9481,3325,3669
"1072","21157","Marshall County, Kentucky",31166,15341,15825,6449,7084
"1073","21159","Martin County, Kentucky",11919,6583,5336,1983,2162
"1074","21161","Mason County, Kentucky",17153,8485,8668,3051,3598
"1075","21163","Meade County, Kentucky",28326,14352,13974,4944,4899
"1076","21165","Menifee County, Kentucky",6405,3421,2984,1411,1352
"1077","21167","Mercer County, Kentucky",21516,10597,10919,4036,4700
"1078","21169","Metcalfe County, Kentucky",10004,4923,5081,1885,2141
"1079","21171","Monroe County, Kentucky",10634,5370,5264,2069,2263
"1080","21173","Montgomery County, Kentucky",27759,13541,14218,4437,5303
"1081","21175","Morgan County, Kentucky",13285,7425,5860,2502,2436
"1082","21177","Muhlenberg County, Kentucky",31081,15286,15795,5642,6443
"1083","21179","Nelson County, Kentucky",45388,22492,22896,7658,8503
"1084","21181","Nicholas County, Kentucky",7100,3369,3731,1284,1445
"1085","21183","Ohio County, Kentucky",24071,11960,12111,4454,4746
"1086","21185","Oldham County, Kentucky",65374,34328,31046,10721,10642
"1087","21187","Owen County, Kentucky",10741,5304,5437,2059,2173
"1088","21189","Owsley County, Kentucky",4463,1947,2516,752,1086
"1089","21191","Pendleton County, Kentucky",14520,7360,7160,2747,2807
"1090","21193","Perry County, Kentucky",26917,13273,13644,4831,5451
"1091","21195","Pike County, Kentucky",60483,29507,30976,11013,12844
"1092","21197","Powell County, Kentucky",12321,6048,6273,2055,2295
"1093","21199","Pulaski County, Kentucky",64145,31517,32628,11985,13420
"1094","21201","Robertson County, Kentucky",2143,1147,996,491,426
"1095","21203","Rockcastle County, Kentucky",16827,8170,8657,3162,3515
"1096","21205","Rowan County, Kentucky",24499,11763,12736,3411,3960
"1097","21207","Russell County, Kentucky",17760,8688,9072,3477,3838
"1098","21209","Scott County, Kentucky",53517,26516,27001,7564,8374
"1099","21211","Shelby County, Kentucky",46786,22613,24173,7609,8847
"1100","21213","Simpson County, Kentucky",18063,8926,9137,2983,3557
"1101","21215","Spencer County, Kentucky",18246,9277,8969,3323,3290
"1102","21217","Taylor County, Kentucky",25500,12525,12975,4248,5160
"1103","21219","Todd County, Kentucky",12350,6049,6301,2110,2253
"1104","21221","Trigg County, Kentucky",14344,7077,7267,3086,3247
"1105","21223","Trimble County, Kentucky",8637,4238,4399,1613,1775
